Date,Open,Close,High,Low,Volume,Change
2014-3-24,30.8,13.175,30.88,30.02,0.22K,1.22%
2014-3-25,31.09,13.366,31.25,30.51,0.02K,0.94%
2014-3-26,30.66,13.54,31.24,30.56,0.14K,-1.38%
2014-3-27,29.86,13.582,30.7,29.8,0.35K,-2.61%
2014-3-28,30.07,13.189,30.3,29.74,,0.70%
2014-3-31,30.3,13.247,30.7,29.55,0.02K,0.76%
2014-4-1,30.86,13.413,30.9,30.3,0.12K,1.85%
2014-4-2,31.44,13.615,31.48,30.8,0.24K,1.88%
2014-4-3,31.46,13.829,31.66,31.35,0.01K,0.06%
2014-4-4,31.77,14.028,31.8,31.4,0.03K,0.99%
2014-4-7,31.7,14.333,31.91,31.45,0.01K,-0.22%
2014-4-8,31.49,14.406,31.7,31.31,,-0.66%
2014-4-9,31.33,14.359,31.6,31.15,,-0.51%
2014-4-10,31.52,14.185,31.6,31.12,0.05K,0.61%
2014-4-11,31.53,14.225,31.73,31.16,,0.03%
2014-4-14,31.51,14.217,31.55,31.4,,-0.06%
2014-4-15,31.21,14.099,31.5,31.16,,-0.95%
2014-4-16,31.58,13.942,31.63,31.26,,1.19%
2014-4-17,31.25,14.132,31.6,31.19,,-1.04%
2014-4-22,30.98,13.938,31.32,30.7,0.03K,-0.86%
2014-4-23,31.1,13.917,31.4,30.86,0.00K,0.39%
2014-4-24,30.74,14.034,31.13,30.57,0.01K,-1.16%
2014-4-25,30.16,13.685,30.75,30.11,0.06K,-1.89%
2014-4-28,30.06,13.543,30.8,30.01,0.11K,-0.33%
2014-4-29,30.2,13.426,30.33,29.88,0.01K,0.47%
2014-4-30,29.85,13.579,30.3,29.81,0.00K,-1.16%
2014-5-2,29.86,13.437,30,29.68,0.00K,0.03%
2014-5-5,30,13.314,30.15,29.88,0.00K,0.47%
2014-5-6,29.91,13.45,30,29.9,,-0.30%
2014-5-7,29.76,13.485,29.9,29.64,0.00K,-0.50%
2014-5-8,29.55,13.34,29.55,29.55,,-0.71%
2014-5-9,29.35,13.217,29.25,29.25,0.00K,-0.68%
2014-5-12,29.14,13.21,29.26,29.1,,-0.72%
2014-5-13,29.1,13.107,29.36,29,,-0.14%
2014-5-14,28.79,13.199,29.07,28.66,,-1.07%
2014-5-15,28.85,12.929,28.85,28.65,,0.21%
2014-5-16,28.47,12.825,28.44,28.36,,-1.32%
2014-5-19,27.9,12.707,28.05,27.9,,-2.00%
2014-5-20,27.6,12.545,27.81,27.6,,-1.08%
2014-5-21,27.49,12.437,27.49,27.11,,-0.40%
2014-5-22,27.55,12.383,27.78,27.4,,0.22%
2014-5-23,27.55,12.347,27.55,27.3,,0.00%
2014-5-26,27.7,12.465,27.7,27.7,,0.54%
2014-5-27,27.37,12.237,27.42,27.3,0.05K,-1.19%
2014-5-28,27.3,12.229,27.31,27.2,,-0.26%
2014-5-29,27.29,12.27,27.29,27.02,,-0.04%
2014-5-30,27.1,12.092,27.15,26.9,,-0.70%
2014-6-2,27.1,11.861,27.1,27,,0.00%
2014-6-3,27.09,11.885,27.1,26.95,,-0.04%
2014-6-4,27.18,11.919,27.18,27.18,,0.33%
2014-6-5,26.64,11.84,26.9,26.6,,-1.99%
2014-6-6,26.65,11.834,26.7,26.5,,0.04%
2014-6-9,26.15,11.843,26.4,26.15,,-1.88%
2014-6-10,25.8,11.677,25.99,25.75,,-1.34%
2014-6-11,25.4,11.511,25.74,25.3,,-1.55%
2014-6-13,25.04,11.104,25.2,24.7,,-1.42%
2014-6-16,24.85,11.123,24.9,24.79,,-0.76%
2014-6-17,24.75,10.969,25.09,24.81,,-0.40%
2014-6-18,25.09,11.263,25.09,25.09,,1.37%
2014-6-20,25.5,11.208,25.5,25,,1.63%
2014-6-23,25.55,11.423,25.6,25.35,0.01K,0.20%
2014-6-24,25.18,11.353,25.35,25.18,,-1.45%
2014-6-25,24.87,11.405,25.18,24.87,0.03K,-1.23%
2014-6-26,25.1,11.298,25.2,24.8,0.01K,0.92%
2014-6-27,24.9,11.459,25.15,24.58,0.02K,-0.80%
2014-6-30,24.6,11.166,24.71,24.6,0.02K,-1.20%
2014-7-1,24.39,11.081,24.45,24.35,0.04K,-0.85%
2014-7-2,24.21,10.843,24.21,24.1,0.03K,-0.74%
2014-7-3,24.38,10.936,24.45,24.2,0.02K,0.70%
2014-7-4,24.2,10.98,24.3,24.2,0.00K,-0.74%
2014-7-7,24.4,10.968,24.4,24.4,0.01K,0.83%
2014-7-8,24.25,10.96,24.3,24.26,0.00K,-0.61%
2014-7-10,24.44,10.966,24.44,24.35,,0.78%
2014-7-11,24.15,10.942,24.3,24.13,,-1.19%
2014-7-14,24.15,10.916,24.28,24.15,0.06K,0.00%
2014-7-15,24.06,10.881,24.14,24,,-0.37%
2014-7-16,23.64,10.633,23.64,23.64,,-1.75%
2014-7-17,23.65,10.461,23.65,23.65,,0.04%
2014-7-18,23.36,10.492,23.36,23.36,,-1.23%
2014-7-21,23.22,10.448,23.22,23.22,,-0.60%
2014-7-22,23.12,10.447,23.12,23.12,,-0.43%
2014-7-23,23.12,10.42,23.12,23.12,,0.00%
2014-7-24,23.15,10.423,23.15,23.15,,0.13%
2014-7-25,23.39,10.49,23.39,23.39,,1.04%
2014-7-28,23.57,10.6,23.57,23.57,,0.77%
2014-7-29,23.44,10.503,23.44,23.44,,-0.55%
2014-7-30,23.49,10.452,23.49,23.49,,0.21%
2014-7-31,23.2,10.35,23.43,23.2,,-1.23%
2014-8-1,24,10.617,24,24,,3.45%
2014-8-4,24.5,10.849,24.5,24.5,0.00K,2.08%
2014-8-5,24.23,10.614,24.23,24.23,,-1.10%
2014-8-6,24,10.553,24,24,0.01K,-0.95%
2014-8-7,24.5,10.678,24.5,24.5,0.00K,2.08%
2014-8-8,24.29,10.615,24.29,24.29,,-0.86%
2014-8-11,23.45,10.28,23.45,23.39,0.01K,-3.46%
2014-8-12,23.4,10.278,23.4,23.4,,-0.21%
2014-8-13,23.4,10.256,23.4,23.4,,0.00%
2014-8-14,23.22,10.238,23.22,23.22,,-0.77%
2014-8-15,22.99,10.168,22.99,22.99,,-0.99%
2014-8-18,23.35,10.352,23.5,23.28,1.55K,1.57%
2014-8-19,23.32,10.379,23.44,23.25,0.81K,-0.13%
2014-8-20,23.21,10.32,23.39,23.1,0.01K,-0.47%
2014-8-21,23.21,10.243,23.25,23.2,1.54K,0.00%
2014-8-22,23.65,10.19,23.79,23.2,4.04K,1.90%
2014-8-25,23.48,10.352,23.8,23.31,2.11K,-0.72%
2014-8-26,23.29,10.346,23.5,23.25,2.34K,-0.81%
2014-8-27,23.26,10.336,23.23,23.15,2.37K,-0.13%
2014-8-28,23.2,10.356,23.3,23.05,1.87K,-0.26%
2014-8-29,23.01,10.372,23.24,22.91,3.40K,-0.82%
2014-9-1,22.63,10.239,22.61,23,3.94K,-1.65%
2014-9-2,22.44,10.08,22.64,22.42,3.15K,-0.84%
2014-9-3,22.15,10.017,22.48,22.12,4.25K,-1.29%
2014-9-4,22,9.88,22.15,21.96,1.94K,-0.68%
2014-9-5,21.74,9.794,21.99,21.65,1.82K,-1.18%
2014-9-8,21.56,9.578,21.78,21.55,1.69K,-0.83%
2014-9-9,21.85,9.414,21.89,21.51,0.83K,1.35%
2014-9-10,21.98,9.477,21.99,21.65,1.32K,0.59%
2014-9-11,21.92,9.61,22,21.85,0.30K,-0.27%
2014-9-12,22.02,9.343,22.09,21.85,0.37K,0.46%
2014-9-15,21.94,9.375,21.98,21.91,0.43K,-0.36%
2014-9-16,23.61,9.989,23.8,23.4,2.40K,7.61%
2014-9-17,23.41,10.124,23.7,23.33,2.58K,-0.85%
2014-9-18,23.34,9.905,23.7,23.3,2.33K,-0.30%
2014-9-19,23.01,9.861,23.43,22.97,3.31K,-1.41%
2014-9-22,22.86,9.717,23.04,22.8,3.25K,-0.65%
2014-9-23,22.93,9.539,23.12,22.81,2.62K,0.31%
2014-9-24,23.27,9.498,23.33,22.88,2.45K,1.48%
2014-9-25,23.23,9.757,23.39,22.9,2.95K,-0.17%
2014-9-26,23.2,9.598,23.44,23.16,0.03K,-0.13%
2014-9-29,23.54,9.586,23.65,23.15,2.44K,1.47%
2014-9-30,23.25,9.608,23.75,23.23,3.92K,-1.23%
2014-10-1,23.29,9.488,23.4,22.95,6.00K,0.17%
2014-10-2,22.99,9.361,23.27,22.9,3.00K,-1.29%
2014-10-3,22.97,9.323,23.17,22.91,1.80K,-0.09%
2014-10-6,23.21,9.342,23.35,22.72,4.76K,1.04%
2014-10-7,23.35,9.535,23.4,23.01,3.00K,0.60%
2014-10-8,23.46,9.727,23.71,23.18,4.52K,0.47%
2014-10-9,23.95,9.864,24.05,23.4,5.10K,2.09%
2014-10-10,23.89,9.918,24.25,23.7,4.25K,-0.25%
2014-10-13,24.54,9.884,24.6,23.73,4.10K,2.72%
2014-10-14,25.15,10.26,25.18,24.35,5.92K,2.49%
2014-10-15,26.09,10.486,26.4,25.08,0.08K,3.74%
2014-10-16,26.15,10.525,26.25,25.6,4.42K,0.23%
2014-10-17,25.85,10.703,26.3,25.55,4.05K,-1.15%
2014-10-20,25.89,10.57,26.05,25.59,2.11K,0.15%
2014-10-21,25.8,10.495,26.14,25.75,1.86K,-0.35%
2014-10-22,26.44,10.407,26.56,25.74,4.18K,2.48%
2014-10-23,26.98,10.66,27.1,26.1,3.09K,2.04%
2014-10-24,26.72,10.914,27.4,26.5,3.77K,-0.96%
