Date,Open,Close,High,Low,Volume,Change
2014-3-24,"2,368.00",382.343,"2,374.00","2,364.00",28.08K,0.00%
2014-3-25,"2,371.00",382.774,"2,377.00","2,368.00",41.99K,0.13%
2014-3-26,"2,366.00",381.116,"2,397.00","2,355.00",94.86K,-0.21%
2014-3-27,"2,372.00",381.458,"2,377.00","2,368.00",30.82K,0.25%
2014-3-28,"2,373.00",381.829,"2,376.00","2,368.00",13.64K,0.04%
2014-3-31,"2,370.00",381.467,"2,375.00","2,367.00",22.32K,-0.13%
2014-4-1,"2,365.00",381.827,"2,371.00","2,359.00",30.83K,-0.21%
2014-4-2,"2,353.00",380.134,"2,364.00","2,348.00",31.79K,-0.51%
2014-4-3,"2,356.00",378.361,"2,362.00","2,349.00",29.98K,0.13%
2014-4-4,"2,361.00",380.175,"2,366.00","2,358.00",15.03K,0.21%
2014-4-8,"2,359.00",381.201,"2,364.00","2,356.00",19.33K,-0.08%
2014-4-9,"2,357.00",380.298,"2,361.00","2,354.00",19.19K,-0.08%
2014-4-10,"2,357.00",379.57,"2,359.00","2,354.00",18.74K,0.00%
2014-4-11,"2,354.00",379.482,"2,357.00","2,352.00",14.91K,-0.13%
2014-4-14,"2,373.00",378.672,"2,386.00","2,355.00",56.43K,0.81%
2014-4-15,"2,393.00",383.057,"2,400.00","2,383.00",34.40K,0.84%
2014-4-16,"2,386.00",385.264,"2,399.00","2,380.00",21.66K,-0.29%
2014-4-17,"2,387.00",383.311,"2,391.00","2,382.00",16.39K,0.04%
2014-4-18,"2,380.00",383.485,"2,388.00","2,372.00",18.77K,-0.29%
2014-4-21,"2,376.00",379.972,"2,380.00","2,373.00",5.38K,-0.17%
2014-4-22,"2,376.00",379.972,"2,379.00","2,370.00",13.50K,0.00%
2014-4-23,"2,364.00",380.416,"2,375.00","2,360.00",6.25K,-0.51%
2014-4-24,"2,360.00",378.805,"2,367.00","2,359.00",7.39K,-0.17%
2014-4-25,"2,357.00",377.365,"2,379.00","2,348.00",11.92K,-0.13%
2014-4-28,"2,377.00",377.862,"2,384.00","2,363.00",6.27K,0.85%
2014-4-29,"2,372.00",379.201,"2,379.00","2,364.00",4.76K,-0.21%
2014-4-30,"2,392.00",379.731,"2,420.00","2,377.00",6.48K,0.84%
2014-5-5,"2,410.00",384.899,"2,420.00","2,404.00",1.79K,0.75%
2014-5-6,"2,398.00",385.622,"2,401.00","2,385.00",0.68K,-0.50%
2014-5-7,"2,395.00",384.11,"2,398.00","2,390.00",0.12K,-0.13%
2014-5-8,"2,395.00",384.523,"2,395.00","2,395.00",,0.00%
2014-5-9,"2,385.00",382.966,"2,385.00","2,385.00",0.01K,-0.42%
2014-5-12,"2,396.00",383.962,"2,399.00","2,390.00",0.36K,0.46%
2014-5-13,"2,450.00",393.296,"2,450.00","2,450.00",0.15K,2.25%
2014-5-14,"2,450.00",393.29,"2,450.00","2,450.00",,0.00%
2014-5-15,"2,450.00",393.233,"2,450.00","2,450.00",,0.00%
2014-5-16,"2,407.00",386.108,"2,407.00","2,407.00",,-1.76%
2014-5-19,"2,362.00",383.357,"2,391.00","2,347.00",0.01K,-1.87%
2014-5-20,"2,359.00",377.234,"2,371.00","2,352.00",0.01K,-0.13%
2014-5-21,"2,359.00",378.933,"2,365.00","2,353.00",0.02K,0.00%
2014-5-22,"2,367.00",379.335,"2,418.00","2,351.00",0.03K,0.34%
2014-5-23,"2,363.00",379.909,"2,369.00","2,356.00",0.01K,-0.17%
2014-5-26,"2,363.00",378.722,"2,363.00","2,363.00",,0.00%
2014-5-27,"2,363.00",378.104,"2,363.00","2,363.00",,0.00%
2014-5-28,"2,363.00",377.736,"2,363.00","2,363.00",,0.00%
2014-5-29,"2,369.00",381.194,"2,378.00","2,362.00",0.01K,0.25%
2014-5-30,"2,390.00",382.535,"2,390.00","2,390.00",0.00K,0.89%
2014-6-3,"2,390.00",382.1,"2,390.00","2,390.00",,0.00%
2014-6-4,"2,385.00",383.84,"2,399.00","2,373.00",0.02K,-0.21%
2014-6-5,"2,387.00",381.468,"2,387.00","2,387.00",0.00K,0.08%
2014-6-6,"2,387.00",381.889,"2,387.00","2,387.00",,0.00%
2014-6-9,"2,387.00",382.52,"2,387.00","2,387.00",,0.00%
2014-6-10,"2,387.00",383.472,"2,387.00","2,387.00",,0.00%
2014-6-11,"2,378.00",380.539,"2,386.00","2,370.00",0.01K,-0.38%
2014-6-12,"2,382.00",383.014,"2,382.00","2,382.00",,0.17%
2014-6-13,"2,387.00",391.762,"2,433.00","2,367.00",0.01K,0.21%
2014-6-16,"2,391.00",381.833,"2,408.00","2,375.00",0.00K,0.17%
2014-6-17,"2,391.00",384.035,"2,391.00","2,391.00",,0.00%
2014-6-18,"2,391.00",383.727,"2,391.00","2,391.00",,0.00%
2014-6-19,"2,391.00",383.881,"2,391.00","2,391.00",,0.00%
2014-6-20,"2,407.00",377.75,"2,449.00","2,351.00",0.01K,0.67%
2014-6-23,"2,423.00",399.313,"2,486.00","2,379.00",0.02K,0.66%
2014-6-24,"2,423.00",388.925,"2,423.00","2,423.00",,0.00%
2014-6-25,"2,420.00",388.15,"2,420.00","2,420.00",,-0.12%
2014-6-26,"2,363.00",385.586,"2,400.00","2,327.00",0.00K,-2.36%
2014-6-27,"2,363.00",379.965,"2,363.00","2,363.00",,0.00%
2014-6-30,"2,363.00",380.846,"2,363.00","2,363.00",,0.00%
2014-7-1,"2,363.00",381.086,"2,363.00","2,363.00",0.00K,0.00%
2014-7-2,"2,363.00",380.497,"2,363.00","2,363.00",,0.00%
2014-7-3,"2,363.00",380.46,"2,363.00","2,363.00",,0.00%
2014-7-4,"2,363.00",380.908,"2,363.00","2,363.00",,0.00%
2014-7-7,"2,363.00",380.846,"2,363.00","2,363.00",,0.00%
2014-7-8,"2,363.00",381.031,"2,363.00","2,363.00",,0.00%
2014-7-9,"2,363.00",381.123,"2,363.00","2,363.00",,0.00%
2014-7-10,"2,363.00",380.975,"2,363.00","2,363.00",,0.00%
2014-7-11,"2,363.00",380.908,"2,363.00","2,363.00",,0.00%
2014-7-14,"2,363.00",380.754,"2,363.00","2,363.00",,0.00%
2014-7-15,"2,432.00",392.075,"2,436.00","2,428.00",28.89K,2.92%
2014-7-16,"2,427.00",391.683,"2,437.00","2,425.00",18.69K,-0.21%
2014-7-17,"2,433.00",391.689,"2,437.00","2,428.00",10.22K,0.25%
2014-7-18,"2,435.00",391.456,"2,440.00","2,432.00",16.91K,0.08%
2014-7-21,"2,432.00",392.321,"2,436.00","2,427.00",11.38K,-0.12%
2014-7-22,"2,439.00",392.425,"2,450.00","2,433.00",30.56K,0.29%
2014-7-23,"2,440.00",395.096,"2,450.00","2,431.00",10.76K,0.04%
2014-7-24,"2,444.00",393.22,"2,451.00","2,436.00",8.65K,0.16%
2014-7-25,"2,450.00",395.491,"2,454.00","2,447.00",4.04K,0.25%
2014-7-28,"2,466.00",395.998,"2,480.00","2,450.00",17.56K,0.65%
2014-7-29,"2,501.00",400.932,"2,518.00","2,478.00",31.30K,1.42%
2014-7-30,"2,515.00",407.551,"2,522.00","2,504.00",20.58K,0.56%
2014-7-31,"2,512.00",407.684,"2,520.00","2,502.00",17.02K,-0.12%
2014-8-1,"2,512.00",405.943,"2,519.00","2,502.00",6.24K,0.00%
2014-8-4,"2,543.00",407.49,"2,560.00","2,518.00",15.46K,1.23%
2014-8-5,"2,543.00",413.729,"2,557.00","2,538.00",11.08K,0.00%
2014-8-6,"2,536.00",412.19,"2,545.00","2,532.00",8.14K,-0.28%
2014-8-7,"2,535.00",411.717,"2,542.00","2,530.00",3.22K,-0.04%
2014-8-8,"2,524.00",411.184,"2,539.00","2,501.00",5.16K,-0.43%
2014-8-11,"2,507.00",406.741,"2,524.00","2,502.00",8.08K,-0.67%
2014-8-12,"2,517.00",407.49,"2,522.00","2,508.00",3.12K,0.40%
2014-8-13,"2,519.00",409.931,"2,524.00","2,512.00",3.44K,0.08%
2014-8-14,"2,533.00",409.427,"2,542.00","2,519.00",5.51K,0.56%
2014-8-15,"2,570.00",413.2,"2,579.00","2,543.00",5.48K,1.46%
2014-8-18,"2,575.00",419.956,"2,580.00","2,571.00",1.30K,0.19%
2014-8-19,"2,565.00",418.132,"2,578.00","2,528.00",2.64K,-0.39%
