Date,Open,Close,High,Low,Volume,Change
2014-3-21,483.75,483.5,485.75,481,39.05K,0.05%
2014-3-24,494.5,484.25,495.25,482.75,45.01K,2.22%
2014-3-25,491.25,493.5,494.5,489.25,35.98K,-0.66%
2014-3-26,489.25,490.5,492.25,487,34.25K,-0.41%
2014-3-27,496.25,488.5,496.75,486.75,68.18K,1.43%
2014-3-28,496.25,495.5,500,493,61.97K,0.00%
2014-3-31,506.75,494,508.25,480.25,138.70K,2.12%
2014-4-1,512.5,506.25,517,506,108.11K,1.13%
2014-4-2,501,511.5,512.5,495.75,98.44K,-2.24%
2014-4-3,505.25,502,506,499.25,76.57K,0.85%
2014-4-4,507.5,504,508,498.5,72.23K,0.45%
2014-4-7,505.25,506,508,500.25,125.86K,-0.44%
2014-4-8,513,504.5,513.5,502.25,97.25K,1.53%
2014-4-9,508,512,524.25,505.75,231.82K,-0.97%
2014-4-10,507.25,507.5,509,499.75,133.96K,-0.15%
2014-4-11,504.5,505,511,503.5,127.88K,-0.54%
2014-4-14,509.25,504,513,503.5,91.09K,0.94%
2014-4-15,509.75,509,512.75,503.5,122.00K,0.10%
2014-4-16,503.5,508.25,510.75,501,113.52K,-1.23%
2014-4-17,500.5,503.5,507,498.75,106.11K,-0.60%
2014-4-21,493.75,499,499.25,490.75,125.15K,-1.35%
2014-4-22,502,494.25,506,492.75,186.66K,1.67%
2014-4-23,509.5,501.75,510,500.25,131.29K,1.49%
2014-4-24,507.25,508.25,513.5,505.5,145.31K,-0.44%
2014-4-25,512.75,507,516.75,506.75,124.58K,1.08%
2014-4-28,513.75,512.25,518.5,511.25,158.65K,0.20%
2014-4-29,521.5,514.5,522,514.25,158.52K,1.51%
2014-4-30,519,520.75,521.5,514.5,112.74K,-0.48%
2014-5-1,507,518,521,504.5,151.05K,-2.31%
2014-5-2,499.5,507,509.75,497.75,125.01K,-1.48%
2014-5-5,508,499,509.5,497.5,109.91K,1.70%
2014-5-6,517.5,507.25,519,502,118.39K,1.87%
2014-5-7,514,516.25,519,510.25,115.71K,-0.68%
2014-5-8,516.5,513.75,517,508,106.99K,0.49%
2014-5-9,507.5,515.5,522.75,505.75,219.71K,-1.74%
2014-5-12,499.5,505.25,506.25,498.5,98.61K,-1.58%
2014-5-13,502.75,499,503.5,497.5,95.49K,0.65%
2014-5-14,495.5,502,504.5,495.25,105.79K,-1.44%
2014-5-15,481,491,492.5,478.75,28.17K,-2.93%
2014-5-16,481.25,481.5,483.75,477,24.64K,0.05%
2014-5-19,475.5,480.25,480.25,474.5,26.35K,-1.19%
2014-5-20,472.25,475.5,479.25,471.5,34.18K,-0.68%
2014-5-21,472.5,472,474.25,470.5,29.98K,0.05%
2014-5-22,474,472.25,480,470,32.80K,0.32%
2014-5-23,475.5,474,477.75,472.5,25.47K,0.32%
2014-5-27,466.25,470.5,472,465.75,32.60K,-1.95%
