Date,Close,Volume,Open,High,Low
2014-3-20,782,12786,781.5,799,770.5
2014-3-21,771.25,8451,771.25,784,768.25
2014-3-24,794.5,7965,783,797.25,768
2014-3-25,791.75,8412,794.25,795.75,787.25
2014-3-26,771.25,10887,791.5,794,770.25
2014-3-27,783.75,8207,773,788.75,764
2014-3-28,763.5,10517,763,782.25,762.75
2014-3-31,764,11121,764,768.5,748.25
2014-4-1,753.5,9694,759,765.25,751
2014-4-2,738.75,8487,745,756.75,734.5
2014-4-3,744,8410,740,746,733.75
2014-4-4,733.75,9408,742.75,744.75,724.25
2014-4-7,739.5,14329,742,743.75,730.25
2014-4-8,741.5,10872,755,747.75,732
2014-4-9,740.25,17792,754.75,756,736.75
2014-4-10,729,15046,741,741.75,726
2014-4-11,726,15462,724.5,733.5,723.25
2014-4-14,748.25,16612,745,756.5,731
2014-4-15,771.5,16620,770,772.5,742
2014-4-16,760.75,11411,771.5,780.25,755.25
2014-4-17,765,10698,768,778.5,758.5
2014-4-18,765,,765,765,765
2014-4-21,741.75,11421,755.5,765,737
2014-4-22,746.75,13641,745.25,750.75,736.75
2014-4-23,750.5,10603,740.75,754,738.75
2014-4-24,765.5,11663,759.5,772,745.5
2014-4-25,779.5,11698,765.5,781,764
2014-4-28,786.5,12918,786.25,789.75,773.5
2014-4-29,802.5,16911,802,803.25,782.25
2014-4-30,812.5,17686,811.25,815.25,796.75
2014-5-1,804,14571,804.75,817,798.5
2014-5-2,821.75,17270,821,828,805.5
2014-5-5,832,14052,832,843,822.75
2014-5-6,845.75,14917,832.25,855.5,829.75
2014-5-7,841.5,15421,840,847.5,828.25
2014-5-8,842.5,12322,842,844.25,828.25
2014-5-9,828.75,14348,836,845.25,828
2014-5-12,824.5,9833,817,826.5,809.5
2014-5-13,824.75,7553,829,827.5,815.5
2014-5-14,806.25,11687,822.25,826,803
2014-5-15,778.75,13917,806,807,777.75
2014-5-16,767.75,12308,769,781.25,762.25
2014-5-19,768.75,10666,767.75,770.75,759
2014-5-20,768.25,9553,781.5,785.75,766
2014-5-21,761.5,8381,760,772,759.5
2014-5-22,751.75,12734,762.25,764.75,747.75
2014-5-23,745,7675,754.75,755,740.75
2014-5-26,745,,745,745,745
2014-5-27,738.25,8335,739,747,736
2014-5-28,736,7916,737,740.25,729.25
2014-5-29,730.5,9957,736.75,740,726.5
2014-5-30,723,10017,723,735.75,721.5
2014-6-2,718.75,13728,720,724,710.75
2014-6-3,707.75,10391,706.25,721.25,706
2014-6-4,713.5,11728,716,717,706
2014-6-5,714,16989,721.25,721.75,711
2014-6-6,735.5,18011,734.5,737.75,713.25
2014-6-9,733.75,16984,738,745,731
2014-6-10,726,14353,732.75,737.5,723
2014-6-11,704.25,21638,730.5,731.25,703.25
2014-6-12,705.5,17172,709,709,702
2014-6-13,715.5,8850,711,723,709.75
2014-6-16,708.5,10439,722,722,706.25
2014-6-17,712.75,6988,708,714,702.5
2014-6-18,727.25,10823,716.25,741,712.75
2014-6-19,726.75,9836,727,737.5,722
2014-6-20,717.75,8687,720,728,716.25
2014-6-23,712.75,10691,723,728,707.5
2014-6-24,703.75,8497,710.75,713.5,702.75
2014-6-25,713.5,11651,711,714.25,701
2014-6-26,714.75,11470,715,720,708.75
2014-6-27,721.75,10353,715,728,714
2014-6-30,700.25,11071,699,722,699.5
2014-7-1,688.75,9622,697,703.25,684
2014-7-2,681.75,9244,685,690,678.75
2014-7-3,687.25,7859,681.5,688.5,676.25
2014-7-4,687.25,,687.25,687.25,687.25
2014-7-7,669.75,8622,669.75,685,667.75
2014-7-8,664.25,7549,672,674,663.5
2014-7-9,653.25,12583,650.75,664,649.5
2014-7-10,647.25,9343,646.75,657.75,643.75
2014-7-11,636.25,11506,646.5,647.25,632.5
2014-7-14,646.25,8573,637,647.5,634.75
2014-7-15,639,7902,644.75,647,636
2014-7-16,637.25,10308,637,645,635.5
2014-7-17,649,12543,649,659.5,630.25
2014-7-18,633.75,6739,648,653.75,632
2014-7-21,628,6391,628.5,633,624.25
2014-7-22,621.25,6032,620.5,635,621
2014-7-23,623.5,9606,623,625.25,620
2014-7-24,620.5,9055,620.5,634.75,618.75
2014-7-25,631.25,7997,620.5,631.75,619.25
2014-7-28,625.5,6401,625.75,636.25,624
2014-7-29,611.5,13157,624.25,627,611
2014-7-30,617,7686,615,620,611
2014-7-31,625.75,12710,618,631,614.75
2014-8-1,632.75,12449,633,642.25,625.25
2014-8-4,638.5,10285,638,648.75,631.25
2014-8-5,642.75,7753,643,644.75,633.25
2014-8-6,656.25,12183,656,661.75,642
2014-8-7,659.75,11649,668.75,671,658.75
2014-8-8,642.75,14083,653.75,659.25,641
2014-8-11,637,13793,637,646.5,632.75
2014-8-12,626.5,14461,625,637,625
2014-8-13,619.25,15965,619.25,634,618.25
2014-8-14,623.25,8143,619,625.25,617.75
2014-8-15,634.25,10420,627.5,643.5,621
2014-8-18,631.5,7250,628.75,633.25,625.25
2014-8-19,637.5,11396,627.75,644,625
2014-8-20,630.75,10415,630,640.5,624.5
2014-8-21,632.25,12777,630.25,636,627.5
2014-8-22,644,16389,632,648.5,631.5
2014-8-25,633.25,8584,643,647.75,632.5
2014-8-26,631.75,11659,623,637,623.25
2014-8-27,638,12964,638,641.25,626
2014-8-28,644.75,12635,650,654,634
2014-8-29,642.75,12988,648.25,652,638.5
2014-9-1,642.75,,642.75,642.75,642.75
2014-9-2,632.5,9355,632.5,642.75,628.25
2014-9-3,616.75,10452,620,633.5,615.25
2014-9-4,620.25,10287,621.25,623,616
2014-9-5,628.5,10843,625.5,634.75,619.5
2014-9-8,629,8554,629,631.25,618
2014-9-9,623,7802,626,629,620.75
2014-9-10,615.5,7736,616,623.5,615
2014-9-11,606.25,11335,613.5,615.25,601
2014-9-12,593.25,10749,592.75,606.25,590.25
2014-9-15,586.25,10799,586.25,593,585.25
2014-9-16,583.25,9854,583.25,594.75,580
2014-9-17,582.25,7740,580,584.5,579
2014-9-18,569.75,8426,569,582,569
2014-9-19,560.25,11456,558,570,557.5
2014-9-22,560.25,7394,563,565.25,553.5
2014-9-23,562,8352,559.75,563.25,553.5
2014-9-24,564.25,9835,569.75,571.75,559
2014-9-25,564.25,7855,564,566.25,555
2014-9-26,563.75,4360,560.75,565,559.25
2014-9-29,566.5,5716,565.5,569,559.5
2014-9-30,558,14766,558,566.75,554.25
2014-10-1,557.5,11002,555.5,563,550
2014-10-2,561.5,9460,563.5,569.75,556.25
2014-10-3,568,9253,561.75,570.75,560.5
2014-10-6,575.5,9034,577.75,578,567
2014-10-7,588.25,14662,585,595.75,573.5
2014-10-8,586.5,7755,586.5,592,582
2014-10-9,572.75,9147,580,588.25,571
2014-10-10,577.75,12182,568,587.5,568
2014-10-13,584.25,5658,584.25,586.75,575.25
2014-10-14,590.25,7448,590.25,591,582
2014-10-15,592,9989,595,598.5,584.5
2014-10-16,605,,605,605,605
2014-10-17,601.75,13665,600,614.75,600.75
2014-10-20,601,7975,601,602.5,594.5
2014-10-21,602.25,10498,602.25,606.5,597.5
2014-10-22,605.25,9166,605.5,612,599.25
2014-10-23,605.25,9918,603.75,608.75,601.5
2014-10-24,593.75,10288,603.75,615.75,593.25
2014-10-27,594.75,10649,600,599,588.75
2014-10-28,602,8535,603,604.75,595.25
2014-10-29,606.5,10788,602.75,608.75,598.75
2014-10-30,602,11657,604.75,611.75,599.5
2014-10-31,593.75,18360,601.25,603.5,587
2014-11-3,597.5,8145,591.25,599.5,590
2014-11-4,590.25,6360,593.75,598,589
2014-11-5,584.5,10979,586.5,592,579.75
2014-11-6,579,8973,584.5,586.5,578.5
2014-11-7,569.25,15412,573,580,567.5
2014-11-10,573,18155,567.75,577,565.25
2014-11-11,578.5,21366,571,580.25,569
2014-11-12,599.25,25873,586.25,602.5,577.5
2014-11-13,606,20635,600,608.75,593
2014-11-14,608.25,12070,604,615.5,602
2014-11-17,600,9191,608.5,612.75,599.25
2014-11-18,596.5,9877,598,602,593
2014-11-19,589.25,9516,592,597,584.25
2014-11-20,606.25,17311,589.75,607,586
2014-11-21,607,12141,603.5,612,601.5
2014-11-24,605.75,12378,610,610.25,602.25
2014-11-25,619,16326,608.5,621,603.5
2014-11-26,623.25,13498,622.75,627.75,618
2014-11-27,623.25,,623.25,623.25,623.25
2014-11-28,640,15118,620.75,640.75,620
2014-12-1,664.25,18746,655.25,664.75,638
2014-12-2,652.25,19127,654.75,666.75,650.75
2014-12-3,639.75,11460,642,653.25,636.25
2014-12-4,635.5,9570,639.75,640.25,625.75
2014-12-5,639.25,12473,632,643.5,630
2014-12-8,639.25,10253,635,650.25,633.5
2014-12-9,622,14780,637.5,637.5,620.5
2014-12-10,617.5,,617.5,617.5,617.5
2014-12-11,627.5,14200,611.25,632.5,610.5
2014-12-12,634.25,11933,633.75,643,622.75
2014-12-15,647,92,643,646,643
2014-12-16,647,,641,647,647
2014-12-17,681.5,18749,665.25,682.75,649.75
2014-12-18,683.75,,683.75,683.75,683.75
2014-12-19,666,11510,669.75,682.5,661.75
2014-12-22,657.75,12141,659.75,677.75,655.25
2014-12-23,664.75,6812,659,667.5,652.75
2014-12-24,644,6406,662.75,667.75,638
2014-12-25,644,,644,644,644
2014-12-26,644.25,2300,646,649.25,642.25
2014-12-29,647.5,6047,648,654.75,642.5
2014-12-30,636,8582,636,647,634
2014-12-31,626.5,8216,633.25,638.75,621.5
2015-1-1,626.5,,626.5,626.5,626.5
2015-1-2,617,8251,615.25,628,610
2015-1-5,624.75,9149,625,633,615.25
2015-1-6,631.25,11058,632,642,623
2015-1-7,620,8486,620,634,619.25
2015-1-8,607.75,11823,620.75,620.75,605.75
2015-1-9,600.5,10096,600,612.5,598
2015-1-12,590.5,317,590.25,591.75,590.25
2015-1-13,590.5,,590.75,590.5,590.5
2015-1-14,575,13770,575,583.25,571.5
2015-1-15,573,,573,573,573
2015-1-16,577,12321,575.75,584.75,574.25
2015-1-19,577,,577,577,577
2015-1-20,577.75,13693,575.75,579.75,564.75
2015-1-21,572.25,12316,582,583.25,570.75
2015-1-22,564.75,11993,564.75,578.25,564
2015-1-23,564,14600,562.5,566.75,560.25
2015-1-26,554.5,12844,565.25,567.5,553.5
2015-1-27,550.25,10448,555.75,556.5,549
2015-1-28,535.75,15050,545.25,550.75,534.5
2015-1-29,544,18560,537,548.75,533.25
2015-1-30,540.25,17974,546,549.5,536.25
2015-2-2,534.5,13540,536,543.25,533
2015-2-3,559,18203,562.75,559.75,534.5
2015-2-4,552.75,16724,558,564.75,550
2015-2-5,564,,564,564,564
2015-2-6,561.75,16505,568,573.25,554
2015-2-9,563.5,15259,560.5,566.75,557
2015-2-10,554,17973,558,563.5,552.75
2015-2-11,559.25,17890,551.25,563.75,550.25
2015-2-12,555,,555,555,555
