Date,Close,Volume,Open,High,Low
2014-3-21,415,387,415,418.25,410
2014-3-24,417.5,387,421.25,422.5,415
2014-3-25,402.25,751,419,419,401.5
2014-3-26,404.5,818,404,407.75,386
2014-3-27,406.75,406,406.75,414,400.75
2014-3-28,402,856,412.25,410.25,394
2014-3-31,399,975,402,404,390.5
2014-4-1,411.25,800,398.5,415.25,395.5
2014-4-2,408.5,518,414,418,407.25
2014-4-3,414.75,378,412.5,416,407.5
2014-4-4,410.75,237,413,413.75,408
2014-4-7,419,480,412.5,423.75,412.25
2014-4-8,435,508,432,438.5,419.25
2014-4-9,424,378,431.75,437,423.5
2014-4-10,405,585,426,428.5,404
2014-4-11,355.5,315,355.5,363.25,351.5
2014-4-14,357.5,99,357.75,362.25,354.5
2014-4-15,352.25,288,357.5,359.5,344.25
2014-4-16,357.75,217,353,358,350.5
2014-4-17,355.75,268,360,362,353
2014-4-18,355.75,,355.75,355.75,355.75
2014-4-21,347.75,298,355,358,342
2014-4-22,363.75,702,347.5,367,346.75
2014-4-23,360,306,360.5,366,357.5
2014-4-24,355.5,279,360.25,366,354.5
2014-4-25,358,270,357,362.75,353.25
2014-4-28,362.5,331,363,364.5,358
2014-4-29,369.25,379,362.75,369.5,360.75
2014-4-30,360.5,294,368.5,370,358.25
2014-5-1,353,397,359,360.5,350.75
2014-5-2,350,225,347.25,352,342.5
2014-5-5,351.75,197,353,354.5,344.75
2014-5-6,359.5,268,353,359.75,348
2014-5-7,356,83,354.75,359,354
2014-5-8,353,200,354.5,357.75,352
2014-5-9,353.25,131,354.5,356,350.25
2014-5-12,357,217,353,357.75,350.25
2014-5-13,355.5,242,353,357.75,351.25
2014-5-14,356.25,180,356,357.25,352.75
2014-5-15,350.5,255,355.5,357.25,347.5
2014-5-16,337,641,352,353,335.75
2014-5-19,333.5,472,337,337,326.5
2014-5-20,334.25,85,332,335,331.5
2014-5-21,340.5,209,335,341.75,334.25
2014-5-22,346,301,342.75,349.75,339
2014-5-23,345.5,289,348.25,349.5,344
2014-5-26,345.5,,345.5,345.5,345.5
2014-5-27,339.75,245,337.5,347,335.5
2014-5-28,349.75,450,340,350.75,337
2014-5-29,361.5,1227,363.5,364.25,349.75
2014-5-30,371,994,368,374.5,362.5
2014-6-2,371.25,999,377,382.5,369.25
2014-6-3,359,364,372.25,375.75,357.5
2014-6-4,360.75,222,358.75,362.5,357
2014-6-5,356.25,289,361.75,368.75,356
2014-6-6,356.75,245,354,358,353.5
2014-6-9,343,1176,357.5,357.75,339.75
2014-6-10,347.5,418,344.75,348.5,338.75
2014-6-11,346.25,256,345,347.75,343.75
2014-6-12,329,856,328,332.25,325.75
2014-6-13,332.75,286,330.25,332.5,329
2014-6-16,328.75,552,339.5,340,327
2014-6-17,328.75,434,326.25,332,326.25
2014-6-18,331.75,165,329,332,324.5
2014-6-19,339.25,729,331.75,343.25,331.5
2014-6-20,332,646,339.75,341,331
2014-6-23,333,,333,333,333
2014-6-24,332,,332,332,332
2014-6-25,331.75,,331.75,331.75,331.75
2014-6-26,332,,332,332,332
2014-6-27,328.75,,328.75,328.75,328.75
2014-6-30,324,,324,324,324
2014-7-1,332,,332,332,332
2014-7-2,342,,342,342,342
2014-7-3,345.75,,345.75,345.75,345.75
2014-7-4,345.75,,345.75,345.75,345.75
2014-7-7,338.75,,338.75,338.75,338.75
2014-7-8,340.5,,340.5,340.5,340.5
2014-7-9,329.75,,329.75,329.75,329.75
2014-7-10,331.25,,331.25,331.25,331.25
2014-7-11,326.5,,326.5,326.5,326.5
2014-7-14,332.5,,332.5,332.5,332.5
2014-7-15,331,,331,331,331
2014-7-16,334.75,,334.75,334.75,334.75
2014-7-17,332.25,,332.25,332.25,332.25
2014-7-18,325.25,,325.25,325.25,325.25
2014-7-21,325,,325,325,325
2014-7-22,324,,324,324,324
2014-7-23,324.25,,324.25,324.25,324.25
2014-7-24,326,,326,326,326
2014-7-25,332.5,,332.5,332.5,332.5
2014-7-28,337.5,,337.5,337.5,337.5
2014-7-29,333.25,,333.25,333.25,333.25
2014-7-30,329.75,,329.75,329.75,329.75
2014-7-31,330.5,,330.5,330.5,330.5
2014-8-1,330.75,,330.75,330.75,330.75
2014-8-4,330.5,,330.5,330.5,330.5
2014-8-5,333,,333,333,333
2014-8-6,340.25,,340.25,340.25,340.25
2014-8-7,336.75,,336.75,336.75,336.75
2014-8-8,331.25,,331.25,331.25,331.25
2014-8-11,331,,331,331,331
2014-8-12,332.5,,332.5,332.5,332.5
2014-8-13,331.5,,331.5,331.5,331.5
2014-8-14,333.25,,333.25,333.25,333.25
2014-8-15,334,,334,334,334
2014-8-18,339,,339,339,339
2014-8-19,339.75,,339.75,339.75,339.75
2014-8-20,339.5,,339.5,339.5,339.5
