Date,Close,Volume,Open,High,Low
2014-3-21,15.425,296,15.555,15.6,15.32
2014-3-24,15.52,254,15.39,15.545,15.39
2014-3-25,15.335,337,15.505,15.55,15.33
2014-3-26,15.39,198,15.375,15.4,15.265
2014-3-27,15.47,231,15.365,15.49,15.36
2014-3-28,15.51,474,15.425,15.53,15.425
2014-3-31,15.6,1108,15.48,15.71,15.48
2014-4-1,15.69,825,15.6,15.7,15.47
2014-4-2,15.655,521,15.68,15.695,15.625
2014-4-3,15.7,385,15.625,15.74,15.605
2014-4-4,15.76,478,15.675,15.8,15.65
2014-4-7,15.59,563,15.625,15.73,15.53
2014-4-8,15.575,458,15.55,15.64,15.505
2014-4-9,15.505,848,15.5,15.68,15.5
2014-4-10,15.635,479,15.51,15.65,15.5
2014-4-11,15.655,685,15.58,15.73,15.535
2014-4-14,15.42,982,15.71,15.71,15.4
2014-4-15,15.41,458,15.49,15.51,15.37
2014-4-16,15.385,781,15.43,15.455,15.34
2014-4-17,15.455,365,15.5,15.575,15.425
2014-4-18,15.455,,15.455,15.455,15.455
2014-4-21,15.305,851,15.42,15.44,15.2
2014-4-22,15.31,565,15.31,15.36,15.28
2014-4-23,15.3,282,15.365,15.365,15.285
2014-4-24,15.455,447,15.31,15.49,15.31
2014-4-25,15.465,356,15.43,15.49,15.355
2014-4-28,15.37,600,15.38,15.445,15.355
2014-4-29,15.54,584,15.36,15.56,15.34
2014-4-30,15.555,283,15.565,15.595,15.48
2014-5-1,15.515,220,15.565,15.565,15.475
2014-5-2,15.49,250,15.495,15.5,15.375
2014-5-5,15.515,126,15.465,15.545,15.42
2014-5-6,15.555,276,15.51,15.595,15.495
2014-5-7,15.545,255,15.555,15.6,15.54
2014-5-8,15.5,157,15.53,15.565,15.475
2014-5-9,15.43,189,15.49,15.55,15.41
2014-5-12,15.32,277,15.39,15.435,15.28
2014-5-13,15.325,253,15.3,15.39,15.295
2014-5-14,15.28,193,15.33,15.355,15.27
2014-5-15,15.38,352,15.28,15.41,15.26
2014-5-16,15.4,274,15.4,15.5,15.37
2014-5-19,15.325,212,15.425,15.43,15.315
2014-5-20,15.3,164,15.335,15.34,15.285
2014-5-21,15.27,458,15.32,15.34,15.21
2014-5-22,15.32,231,15.29,15.34,15.27
2014-5-23,15.245,186,15.32,15.35,15.235
2014-5-26,15.245,,15.245,15.245,15.245
2014-5-27,15.09,826,15.165,15.23,15.07
2014-5-28,15.05,821,14.99,15.08,14.95
2014-5-29,15.025,671,15.05,15.12,14.995
2014-5-30,14.985,561,15.01,15.02,14.95
2014-6-2,14.865,877,15,15.025,14.835
2014-6-3,14.55,831,14.85,14.89,14.545
2014-6-4,14.225,1445,14.575,14.62,14.135
2014-6-5,14.08,569,14.22,14.23,14.07
2014-6-6,14.175,370,14.12,14.24,14.08
2014-6-9,14.145,548,14.09,14.2,14.04
2014-6-10,14.035,600,14.145,14.175,14.02
2014-6-11,14.125,501,14.03,14.13,14.04
2014-6-12,14.42,595,14.03,14.43,14.03
2014-6-13,14.51,382,14.4,14.52,14.395
2014-6-16,14.665,830,14.585,14.735,14.485
2014-6-17,14.65,463,14.65,14.74,14.52
2014-6-18,13.81,711,14.005,14.01,13.8
2014-6-19,13.875,393,13.885,13.895,13.765
2014-6-20,13.755,305,13.87,13.9,13.75
2014-6-23,13.76,,13.76,13.76,13.76
2014-6-24,13.695,,13.695,13.695,13.695
2014-6-25,13.675,,13.675,13.675,13.675
2014-6-26,13.46,,13.46,13.46,13.46
2014-6-27,13.555,,13.555,13.555,13.555
2014-6-30,13.57,,13.57,13.57,13.57
2014-7-1,13.53,,13.53,13.53,13.53
2014-7-2,13.69,,13.69,13.69,13.69
2014-7-3,13.58,,13.58,13.58,13.58
2014-7-4,13.58,,13.58,13.58,13.58
2014-7-7,13.615,,13.615,13.615,13.615
2014-7-8,13.7,,13.7,13.7,13.7
2014-7-9,13.455,,13.455,13.455,13.455
2014-7-10,13.455,,13.455,13.455,13.455
2014-7-11,13.205,,13.205,13.205,13.205
2014-7-14,12.895,,12.895,12.895,12.895
2014-7-15,12.87,,12.87,12.87,12.87
2014-7-16,12.99,,12.99,12.99,12.99
2014-7-17,13.28,,13.28,13.28,13.28
2014-7-18,13.125,,13.125,13.125,13.125
2014-7-21,12.98,,12.98,12.98,12.98
2014-7-22,13.165,,13.165,13.165,13.165
2014-7-23,13.12,,13.12,13.12,13.12
2014-7-24,13.085,,13.085,13.085,13.085
2014-7-25,12.94,,12.94,12.94,12.94
2014-7-28,12.925,,12.925,12.925,12.925
2014-7-29,13.13,,13.13,13.13,13.13
2014-7-30,12.97,,12.97,12.97,12.97
2014-7-31,12.985,,12.985,12.985,12.985
2014-8-1,12.79,,12.79,12.79,12.79
2014-8-4,12.825,,12.825,12.825,12.825
2014-8-5,12.675,,12.675,12.675,12.675
2014-8-6,12.625,,12.625,12.625,12.625
2014-8-7,12.735,,12.735,12.735,12.735
2014-8-8,12.66,,12.66,12.66,12.66
2014-8-11,12.625,,12.625,12.625,12.625
2014-8-12,12.65,,12.65,12.65,12.65
2014-8-13,12.655,,12.655,12.655,12.655
2014-8-14,12.855,,12.855,12.855,12.855
2014-8-15,12.905,,12.905,12.905,12.905
2014-8-18,13.145,,13.145,13.145,13.145
2014-8-19,13.12,,13.12,13.12,13.12
2014-8-20,13.11,,13.11,13.11,13.11
2014-8-21,12.825,,12.825,12.825,12.825
2014-8-22,12.825,,12.825,12.825,12.825
2014-8-25,12.97,,12.97,12.97,12.97
2014-8-26,12.855,,12.855,12.855,12.855
2014-8-27,12.795,,12.795,12.795,12.795
2014-8-28,12.685,,12.685,12.685,12.685
2014-8-29,12.585,,12.585,12.585,12.585
2014-9-1,12.585,,12.585,12.585,12.585
2014-9-2,12.525,,12.525,12.525,12.525
2014-9-3,12.425,,12.425,12.425,12.425
2014-9-4,12.4,,12.4,12.4,12.4
2014-9-5,12.375,,12.375,12.375,12.375
2014-9-8,12.32,,12.32,12.32,12.32
2014-9-9,12.25,,12.25,12.25,12.25
2014-9-10,12.22,,12.22,12.22,12.22
2014-9-11,12.325,,12.325,12.325,12.325
2014-9-12,12.55,,12.55,12.55,12.55
2014-9-15,12.76,,12.76,12.76,12.76
2014-9-16,12.715,,12.715,12.715,12.715
2014-9-17,12.51,,12.51,12.51,12.51
2014-9-18,12.62,,12.62,12.62,12.62
2014-9-19,12.7,,12.7,12.7,12.7
2014-9-22,12.55,,12.55,12.55,12.55
2014-9-23,12.66,,12.66,12.66,12.66
2014-9-24,12.73,,12.73,12.73,12.73
2014-9-25,12.705,,12.705,12.705,12.705
2014-9-26,12.815,,12.815,12.815,12.815
2014-9-29,12.735,,12.735,12.735,12.735
2014-9-30,12.745,,12.745,12.745,12.745
2014-10-1,12.64,,12.64,12.64,12.64
2014-10-2,12.555,,12.555,12.555,12.555
2014-10-3,12.585,,12.585,12.585,12.585
2014-10-6,12.705,,12.705,12.705,12.705
2014-10-7,12.74,,12.74,12.74,12.74
2014-10-8,12.625,,12.625,12.625,12.625
2014-10-9,12.595,,12.595,12.595,12.595
2014-10-10,12.585,,12.585,12.585,12.585
2014-10-13,12.63,,12.63,12.63,12.63
2014-10-14,12.72,,12.72,12.72,12.72
2014-10-15,12.59,,12.59,12.59,12.59
2014-10-16,12.51,,12.51,12.51,12.51
2014-10-17,12.545,,12.545,12.545,12.545
2014-10-20,12.5,,12.5,12.5,12.5
2014-10-21,12.555,,12.555,12.555,12.555
2014-10-22,12.53,,12.53,12.53,12.53
2014-10-23,12.365,,12.365,12.365,12.365
2014-10-24,12.405,,12.405,12.405,12.405
2014-10-27,12.235,,12.235,12.235,12.235
2014-10-28,12.055,,12.055,12.055,12.055
2014-10-29,12.13,,12.13,12.13,12.13
2014-10-30,11.91,,11.91,11.91,11.91
2014-10-31,12.005,,12.005,12.005,12.005
2014-11-3,12.055,,12.055,12.055,12.055
2014-11-4,12.165,,12.165,12.165,12.165
2014-11-5,12.155,,12.155,12.155,12.155
2014-11-6,11.84,,11.84,11.84,11.84
2014-11-7,11.87,,11.87,11.87,11.87
2014-11-10,11.725,,11.725,11.725,11.725
2014-11-11,11.62,,11.62,11.62,11.62
2014-11-12,11.785,,11.785,11.785,11.785
2014-11-13,11.715,,11.715,11.715,11.715
2014-11-14,11.73,,11.73,11.73,11.73
2014-11-17,12.18,,12.18,12.18,12.18
2014-11-18,12.27,,12.27,12.27,12.27
2014-11-19,12.675,,12.675,12.675,12.675
2014-11-20,12.845,,12.845,12.845,12.845
2014-11-21,12.855,,12.855,12.855,12.855
2014-11-24,12.72,,12.72,12.72,12.72
2014-11-25,12.645,,12.645,12.645,12.645
2014-11-26,12.545,,12.545,12.545,12.545
2014-11-27,12.545,,12.545,12.545,12.545
2014-11-28,12.595,,12.595,12.595,12.595
2014-12-1,12.405,,12.405,12.405,12.405
2014-12-2,12.45,,12.45,12.45,12.45
2014-12-3,12.395,,12.395,12.395,12.395
2014-12-4,12.375,,12.375,12.375,12.375
2014-12-5,12.325,,12.325,12.325,12.325
2014-12-8,12.295,,12.295,12.295,12.295
2014-12-9,12.54,,12.54,12.54,12.54
2014-12-10,12.51,,12.51,12.51,12.51
2014-12-11,12.355,,12.355,12.355,12.355
2014-12-12,12.615,,12.615,12.615,12.615
2014-12-15,12.695,,12.695,12.695,12.695
2014-12-16,12.32,,12.32,12.32,12.32
2014-12-17,12.335,,12.335,12.335,12.335
2014-12-18,12.33,,12.33,12.33,12.33
