Date,Close,Volume,Open,High,Low
2014-3-20,703.75,91817,703.75,723.5,693.75
2014-3-21,693.25,46830,697,707.25,691.75
2014-3-24,714.5,63534,714.5,718.25,687
2014-3-25,708.25,41995,710.5,716.25,706.5
2014-3-26,696.75,54180,698,711.75,694.75
2014-3-27,710.5,54164,702,713.5,692
2014-3-28,695.5,46972,695,708.75,693.5
2014-3-31,697.25,73759,697.25,702,676.5
2014-4-1,685.25,64483,685.25,698,683.5
2014-4-2,669.25,64977,669,688,665
2014-4-3,676,43491,676,677.5,666.5
2014-4-4,669.75,50680,667,676.25,658.75
2014-4-7,676.25,60498,676.25,679.5,665.5
2014-4-8,681,58236,669.75,685.25,668.25
2014-4-9,669,92094,685.25,688,663
2014-4-10,670,59185,676.5,678.5,663.75
2014-4-11,668.25,41290,664.75,674.25,663.75
2014-4-14,686.75,54277,683,697.25,672.25
2014-4-15,709.75,64577,708.5,711,682
2014-4-16,695.25,70934,692,718.25,690.75
2014-4-17,699,45056,702.5,709.25,693.25
2014-4-18,699,,699,699,699
2014-4-21,675.5,56706,687.5,698,670.25
2014-4-22,679.5,67331,680,684.25,669
2014-4-23,682.75,42537,682.75,685.5,673.5
2014-4-24,696.5,75802,693.25,702.75,677.75
2014-4-25,708.25,48345,707,709.75,694.75
2014-4-28,708.5,60546,712,717,697.25
2014-4-29,716.5,53584,715,717,704
2014-4-30,721.5,60019,719.75,724.75,710.75
2014-5-1,707.25,54681,709,724.5,701.25
2014-5-2,716,46202,714.5,720.75,706.25
2014-5-5,729,59943,725.25,740.5,721.5
2014-5-6,739,53784,739,744,723.75
2014-5-7,737.75,44524,736.5,739.75,727.25
2014-5-8,735.25,45454,731,737.75,727.75
2014-5-9,722.5,67504,725,739.5,722
2014-5-12,715,51632,711.25,722.25,700
2014-5-13,709.25,38939,711.5,715.25,704
2014-5-14,690.25,64696,690,710,687.75
2014-5-15,678.25,54817,679,691,676.75
2014-5-16,674.25,47035,674.25,682.75,670.5
2014-5-19,674.5,69917,675.5,678.25,662.75
2014-5-20,670.5,64153,681.25,686,666
2014-5-21,664.25,62225,664.25,675.5,663
2014-5-22,659.25,65558,660,669.75,654
2014-5-23,652.5,56327,662.25,663.5,651.25
2014-5-26,652.5,,652.5,652.5,652.5
2014-5-27,641,47418,641,648.5,640.25
2014-5-28,638.75,43695,638.75,641.75,633
2014-5-29,632.5,48094,632.5,645,629.75
2014-5-30,627.25,46722,627.25,637,625.5
2014-6-2,620.75,59048,622,626.75,616.25
2014-6-3,612.5,52396,612,624,611
2014-6-4,614.5,45244,618,619.5,610.75
2014-6-5,605.75,50954,605.5,617.25,605
2014-6-6,618.25,64310,618,619.5,603
2014-6-9,612.5,64165,612.5,626.25,607.5
2014-6-10,601.25,68030,602.5,616,599.25
2014-6-11,589.25,73111,585,608.5,588.5
2014-6-12,585.25,61968,585.5,593.5,584.75
2014-6-13,586,65390,587.75,594.5,583.5
2014-6-16,591.25,35805,602.25,604.75,590
2014-6-17,590.75,51986,590.75,594.5,586.25
2014-6-18,596.25,43231,595.75,607,590.75
2014-6-19,602.5,40449,602,604.5,594.75
2014-6-20,593.25,36259,593,603.25,591.75
2014-6-23,589,44120,589,601,587.25
2014-6-24,580.75,37321,580.75,589.5,579.25
2014-6-25,584.25,40002,577.5,584.75,577
2014-6-26,584.75,56990,584.75,590,579.75
2014-6-27,593.75,49242,592,597.5,584
2014-6-30,577.5,71854,581.25,592.5,567.5
2014-7-1,572.5,,572,572.5,572.5
2014-7-2,575.5,32709,575.75,577,568.75
2014-7-3,579.5,33888,579.75,581,572
2014-7-4,579.5,,579.5,579.5,579.5
2014-7-7,556.75,51286,556.5,577,556
2014-7-8,556.25,36543,556,561,555.5
2014-7-9,551.25,37865,545.25,558.25,547.75
2014-7-10,548.5,38112,547,556,546.25
2014-7-11,526,66377,524.75,549.75,525
2014-7-14,537.75,43237,536.25,539,524.25
2014-7-15,537.75,37100,538,539.5,530.5
2014-7-16,538,31664,537.75,544.75,535.75
2014-7-17,550.75,85804,551.5,561.75,530.75
2014-7-18,532.25,50781,531.5,555.75,531
2014-7-21,530,35038,529.75,531.25,523.75
2014-7-22,524.5,34679,524,536.75,524
2014-7-23,530.75,31961,530.5,531,520.25
2014-7-24,528.75,54170,528,542.25,526
2014-7-25,538,41130,537,538.5,526.5
2014-7-28,534.75,33389,534.75,543.25,532
2014-7-29,520,51581,512.25,535.75,518.5
2014-7-30,527.25,50331,526.5,529,519.75
2014-7-31,530.25,58596,530.5,536.25,523.5
2014-8-1,534.25,59620,533.75,544,530.5
2014-8-4,544,54516,543,553.25,534.25
2014-8-5,552.5,50268,552,554.25,538
2014-8-6,568,81600,569.5,572,552.75
2014-8-7,561.5,78045,560,568.25,558.5
2014-8-8,549.25,73463,548,561.5,547
2014-8-11,562.75,84336,563,571.5,557.75
2014-8-12,551.25,83414,550.5,564,546.5
2014-8-13,545.5,,545.5,545.5,545.5
2014-8-14,552.75,40430,553,555,544.25
2014-8-15,563.5,59538,557.5,571,548.5
2014-8-18,554.25,32847,554.25,563,551.75
2014-8-19,558.5,55578,550,565.5,546.75
2014-8-20,550,63027,550.5,561.5,545
2014-8-21,555.5,52821,554,558,547
2014-8-22,562.25,69760,560.75,570.5,555
2014-8-25,554.5,46936,554.5,565,552.5
2014-8-26,556.5,55130,553,558,546.75
2014-8-27,562.25,42868,562,563,550.75
2014-8-28,571.75,77847,571.25,579.25,559
2014-8-29,563.5,50632,563,578.75,561.25
2014-9-1,563.5,,563.5,563.5,563.5
2014-9-2,555,42619,555,566,550.75
2014-9-3,535.75,80140,535.5,556.5,535
2014-9-4,530.25,48215,530,537,527.5
2014-9-5,535.25,48169,533.75,542,528.25
2014-9-8,533.5,32995,533,539.25,524.25
2014-9-9,527.5,31555,531.25,533.75,523.25
2014-9-10,519.75,34976,519.75,529.25,519.25
2014-9-11,509.5,58127,509.75,519.25,503
2014-9-12,502.5,39251,502.5,509.25,500
2014-9-15,500.75,39110,500.25,504,496
2014-9-16,496.25,47725,499.5,508.5,491
2014-9-17,499.25,32061,499,501.5,494.25
2014-9-18,488.5,32720,488.5,498.75,487.75
2014-9-19,474.5,45146,473,488.25,473.75
2014-9-22,476.75,60426,475.5,480.75,469.5
2014-9-23,476,46673,478.5,479.75,471
2014-9-24,480.25,53683,481,484.5,473.5
2014-9-25,474,51052,476.25,483.5,466.25
2014-9-26,474.25,25750,470.5,476.25,468.5
2014-9-29,481.25,38593,480,482.5,470.5
2014-9-30,477.75,60766,478.75,481.75,468
2014-10-1,479,44933,479,484,469.5
2014-10-2,482.75,47860,484,489.75,477.25
2014-10-3,485.75,43922,480.75,489,478
2014-10-6,491.5,39487,491.5,494.75,484.75
2014-10-7,506.25,70352,503.5,509.5,489.25
2014-10-8,507.75,45408,508,511.75,502
2014-10-9,493.25,56662,491.5,508.25,492
2014-10-10,498.5,67178,498.5,508.5,488.25
