date,ke_Close,ke_Volume,ke_Open,ke_High,ke_Low,zo_Close,zo_Volume,zo_Open,zo_High,zo_Low,zr_Close,zr_Volume,zr_Open,zr_High,zr_Low,zw_Close,zw_Volume,zw_Open,zw_High,zw_Low
2024-03-20,580.5,24115.0,582.0,584.25,567.25,353.25,657.0,359.0,360.75,352.75,17.695,383.0,17.725,17.73,17.68,545.0,51390.0,551.75,553.0,537.0
2024-03-19,582.75,25124.0,574.75,587.5,571.5,356.5,400.0,360.0,362.5,356.25,17.73,385.0,17.78,17.84,17.705,552.5,48935.0,542.75,553.75,539.0
2024-03-18,573.75,22533.0,568.0,578.75,563.5,358.5,421.0,366.25,366.5,358.0,17.77,535.0,17.85,17.85,17.74,542.75,55960.0,531.25,544.0,527.0
2024-03-15,566.25,23550.0,575.5,577.5,561.0,365.75,230.0,368.25,372.25,363.75,17.82,442.0,17.865,17.885,17.81,528.5,38397.0,532.0,537.5,526.75
2024-03-14,574.75,27839.0,586.75,586.75,570.75,371.5,317.0,372.25,376.75,368.5,17.865,350.0,17.97,18.0,17.85,532.25,57717.0,542.75,543.0,528.25
2024-03-13,587.5,25972.0,597.0,599.5,583.0,373.0,344.0,371.25,374.0,368.25,17.975,472.0,17.86,17.99,17.835,544.25,52285.0,549.25,554.0,536.75
2024-03-12,597.25,25927.0,595.5,605.25,590.0,372.75,458.0,371.25,374.0,367.5,17.855,355.0,17.915,17.92,17.83,547.5,58561.0,547.0,556.0,541.25
2024-03-11,598.75,33554.0,588.0,603.0,573.25,370.75,360.0,365.75,371.75,363.0,17.83,396.0,17.88,18.0,17.82,547.25,76964.0,539.5,550.25,523.5
2024-03-08,588.75,24191.0,573.75,589.75,571.0,362.75,247.0,359.0,366.0,358.5,17.88,501.0,17.85,18.01,17.775,537.75,70521.0,529.5,542.75,526.0
2024-03-07,574.75,34493.0,557.5,580.0,555.0,358.75,192.0,359.5,362.0,356.25,17.82,859.0,17.955,18.035,17.805,528.5,90392.0,533.25,538.75,528.0
2024-03-06,556.25,25656.0,568.0,568.75,551.5,356.5,350.0,362.0,362.0,356.0,17.93,1079.0,18.2,18.21,17.905,531.0,102045.0,551.5,551.5,529.5
2024-03-05,569.25,28168.0,579.75,582.0,568.25,362.0,264.0,367.25,369.0,360.5,18.105,857.0,18.415,18.415,18.09,551.0,62334.0,563.5,565.25,546.25
2024-03-04,580.25,26938.0,565.0,581.0,561.0,368.5,218.0,370.75,372.5,364.25,18.335,499.0,18.51,18.7,18.265,564.0,42839.0,559.25,568.0,553.0
2024-03-01,564.5,33288.0,586.75,586.75,560.75,371.75,426.0,372.5,373.75,367.75,18.61,578.0,18.26,18.645,18.185,557.75,64438.0,575.0,576.75,555.5
2024-02-29,587.25,24860.0,581.0,588.75,575.75,371.0,275.0,368.5,372.5,365.0,18.285,343.0,18.325,18.495,18.26,576.25,48841.0,576.25,581.5,569.0
2024-02-28,581.0,20307.0,585.0,587.0,573.25,368.5,360.0,366.0,370.0,362.0,18.375,1257.0,18.36,18.49,18.245,574.75,54023.0,584.25,585.0,571.5
2024-02-27,585.75,27000.0,576.0,591.25,575.5,366.0,355.0,366.25,370.0,362.0,18.355,864.0,18.6,18.6,18.215,584.25,56939.0,573.75,589.5,571.5
2024-02-26,576.5,30740.0,566.0,577.25,557.75,363.0,759.0,354.0,367.25,352.25,18.645,683.0,18.855,18.935,18.565,574.75,59021.0,569.75,576.25,560.0
2024-02-23,565.5,25683.0,571.0,576.0,560.75,354.0,798.0,352.25,358.5,348.5,18.935,1040.0,18.825,19.07,18.45,569.0,55020.0,580.25,587.5,568.0
2024-02-22,571.5,24955.0,574.5,590.0,570.25,363.0,331.0,369.5,376.75,362.5,18.82,1910.0,18.555,18.9,18.2,579.25,74376.0,576.0,594.25,574.5
2024-02-21,574.5,28438.0,581.0,582.5,568.75,370.25,457.0,379.0,379.75,367.75,18.515,849.0,18.41,18.585,18.37,578.0,51050.0,578.75,580.5,571.0
2024-02-20,581.0,43497.0,561.0,583.25,558.75,380.0,288.0,386.25,386.25,376.75,18.175,1312.0,18.32,18.41,18.08,579.25,73988.0,556.75,581.75,553.5
2024-02-16,561.5,26314.0,570.25,571.0,556.75,383.25,609.0,380.25,389.5,379.5,18.32,1377.0,18.56,18.655,18.25,559.0,59407.0,567.0,568.75,555.0
2024-02-15,570.0,38369.0,584.25,585.25,568.25,382.25,215.0,377.5,384.75,377.25,18.63,1418.0,18.62,18.895,18.495,567.25,67915.0,583.0,583.25,566.0
2024-02-14,584.0,26397.0,592.0,593.0,578.5,382.0,234.0,383.25,383.25,374.25,18.62,1300.0,18.33,18.74,18.31,583.0,68830.0,596.5,597.25,577.75
2024-02-13,592.25,26398.0,597.0,597.0,588.5,381.75,221.0,379.75,384.0,378.25,18.365,1019.0,18.575,18.74,18.3,598.5,74174.0,597.0,603.5,592.25
2024-02-12,598.75,29454.0,601.5,605.75,595.5,378.25,245.0,379.75,383.5,373.5,18.625,1163.0,18.88,19.19,18.55,597.5,61450.0,596.25,603.0,588.5
2024-02-09,601.5,31174.0,602.25,611.75,594.75,375.25,186.0,376.25,380.75,375.0,18.92,1348.0,18.655,18.975,18.655,596.75,92527.0,591.25,605.5,588.0
2024-02-08,601.0,31810.0,617.25,619.0,597.25,378.75,425.0,381.0,384.25,372.0,18.65,726.0,18.445,18.695,18.445,588.5,70662.0,601.25,602.0,583.75
2024-02-07,618.25,27042.0,617.0,626.0,613.0,382.5,341.0,377.25,383.5,375.5,18.485,564.0,18.53,18.58,18.36,602.0,70872.0,594.75,606.75,590.75
2024-02-06,618.5,19130.0,614.0,622.25,611.75,378.0,396.0,366.75,381.0,366.25,18.575,562.0,18.34,18.58,18.34,595.0,45239.0,590.5,597.5,588.0
2024-02-05,614.0,24713.0,626.0,626.0,610.75,367.5,370.0,371.5,374.0,365.0,18.31,571.0,18.395,18.455,18.26,590.25,48937.0,600.0,601.75,586.75
2024-02-02,625.0,27293.0,620.0,634.5,618.5,371.75,385.0,384.0,384.0,369.0,18.435,797.0,18.08,18.48,18.08,599.75,61116.0,601.5,611.5,595.75
2024-02-01,620.75,22953.0,621.75,624.5,613.0,384.25,536.0,380.0,385.0,372.75,18.105,682.0,18.03,18.19,17.885,601.5,60336.0,595.25,603.0,587.0
2024-01-31,622.0,26928.0,629.75,630.0,617.0,382.5,733.0,377.0,384.5,374.75,17.865,997.0,18.14,18.275,17.85,595.25,37744.0,605.0,605.0,591.75
2024-01-30,630.75,27068.0,617.5,632.75,612.0,377.0,614.0,367.0,380.0,362.75,18.175,812.0,18.08,18.295,17.95,605.5,46394.0,593.5,606.75,584.5
2024-01-29,618.25,23311.0,625.5,626.75,607.25,365.25,232.0,364.5,368.75,361.0,18.09,619.0,17.955,18.17,17.905,593.5,39037.0,601.25,601.75,587.5
2024-01-26,624.75,32147.0,637.0,641.0,619.25,363.75,279.0,363.5,368.25,360.5,17.985,648.0,17.96,18.015,17.87,600.25,65700.0,612.0,614.0,592.25
2024-01-25,637.0,38929.0,624.0,637.75,624.0,364.5,196.0,368.0,370.25,359.75,17.965,1118.0,17.78,18.06,17.72,612.25,51904.0,611.5,617.25,606.5
2024-01-24,625.75,21816.0,617.0,627.75,616.25,365.75,319.0,370.75,371.0,363.0,17.775,763.0,17.45,17.8,17.45,610.75,53043.0,598.0,612.25,596.5
2024-01-23,617.5,29483.0,608.0,624.75,604.5,370.25,267.0,376.0,379.0,365.75,17.435,496.0,17.555,17.56,17.42,598.25,40427.0,596.0,606.75,593.75
2024-01-22,607.0,19591.0,609.25,611.5,601.0,378.5,435.0,379.75,385.0,375.75,17.555,358.0,17.685,17.69,17.51,596.5,34071.0,593.5,600.25,587.0
2024-01-19,608.0,19642.0,605.0,617.25,604.0,379.75,497.0,367.0,384.0,365.25,17.635,346.0,17.625,17.72,17.555,593.25,44643.0,586.25,598.0,584.75
2024-01-18,605.25,25155.0,594.75,607.0,586.75,366.75,449.0,355.25,372.0,350.0,17.6,340.0,17.6,17.73,17.575,585.5,47491.0,583.5,587.0,573.25
2024-01-17,594.0,19618.0,602.25,609.0,593.0,353.5,375.0,353.25,360.75,350.0,17.645,312.0,17.54,17.69,17.54,582.5,65836.0,581.5,595.75,577.75
2024-01-16,601.5,21893.0,614.0,622.5,600.25,352.5,762.0,371.25,372.75,352.0,17.555,469.0,17.67,17.745,17.505,582.0,57865.0,596.0,602.25,576.75
2024-01-12,615.25,29288.0,616.75,622.5,607.0,368.75,254.0,381.75,385.75,368.0,17.67,305.0,17.56,17.705,17.495,596.0,77214.0,604.0,611.75,587.25
2024-01-11,616.0,21434.0,624.25,629.25,613.5,383.5,491.0,382.25,393.0,376.0,17.52,313.0,17.5,17.58,17.495,603.75,34593.0,610.0,614.75,602.0
2024-01-10,624.5,20657.0,627.0,627.0,618.25,385.5,574.0,379.5,389.0,375.5,17.5,290.0,17.575,17.61,17.45,610.75,36946.0,610.25,612.0,603.75
2024-01-09,627.0,25721.0,615.5,633.75,614.0,379.5,655.0,362.5,382.0,362.5,17.595,388.0,17.46,17.62,17.44,610.0,52407.0,596.0,613.75,594.0
2024-01-08,615.25,25445.0,628.25,629.75,609.25,361.0,292.0,357.0,362.75,352.75,17.49,626.0,17.65,17.66,17.355,596.25,65036.0,617.0,617.25,593.0
2024-01-05,628.0,14917.0,624.75,636.0,623.5,353.0,411.0,364.5,367.5,351.25,17.625,1008.0,17.315,17.68,17.275,616.0,41063.0,613.0,621.5,611.5
2024-01-04,625.75,18500.0,621.5,627.25,611.5,365.0,328.0,368.0,380.0,361.75,17.29,926.0,17.335,17.425,17.21,613.5,60641.0,601.5,614.5,591.25
2024-01-03,621.5,20227.0,630.25,631.75,615.5,367.75,331.0,375.0,376.25,363.5,17.315,1519.0,17.87,18.14,17.29,600.25,60321.0,608.0,609.75,598.25
2024-01-02,629.0,20623.0,640.5,642.0,626.25,375.75,234.0,386.0,386.0,370.75,18.03,1574.0,17.52,18.075,17.52,606.75,57520.0,628.75,628.75,604.75
2023-12-29,642.0,15947.0,643.0,648.5,637.25,385.75,250.0,386.0,389.0,378.25,17.52,442.0,17.45,17.58,17.415,628.0,31803.0,631.0,633.5,621.5
2023-12-28,643.75,18231.0,634.25,647.0,633.25,387.25,437.0,375.75,390.0,375.0,17.455,899.0,17.5,17.515,17.39,631.5,30507.0,624.25,636.25,621.75
2023-12-27,635.0,16663.0,642.0,643.0,627.25,373.25,142.0,369.0,375.5,368.0,17.53,940.0,17.595,17.69,17.495,623.0,36172.0,636.0,637.5,619.25
2023-12-26,642.75,17871.0,622.5,647.5,620.25,368.25,148.0,362.25,369.25,360.25,17.605,549.0,17.695,17.72,17.59,636.25,39607.0,615.0,639.75,611.5
2023-12-22,623.0,15055.0,626.5,633.5,622.0,359.5,151.0,364.0,368.0,358.25,17.685,662.0,17.65,17.73,17.58,616.25,23646.0,612.5,618.25,610.75
2023-12-21,626.75,16795.0,626.5,632.75,619.25,363.5,257.0,375.0,379.25,361.5,17.625,1196.0,17.61,17.74,17.61,612.5,31513.0,611.5,617.25,610.25
2023-12-20,625.0,16719.0,641.0,644.75,624.0,378.75,204.0,385.75,385.75,373.25,17.655,1640.0,17.565,17.675,17.51,610.0,37916.0,622.5,625.25,609.0
2023-12-19,641.5,19265.0,629.0,643.25,623.0,385.25,283.0,383.75,388.0,381.0,17.235,1211.0,17.33,17.43,17.17,622.75,40023.0,618.25,624.25,611.25
2023-12-18,627.75,20718.0,643.5,643.5,624.0,383.5,368.0,375.5,384.0,373.75,17.385,861.0,17.15,17.44,17.105,617.0,40465.0,629.75,632.0,614.75
2023-12-15,642.75,20563.0,636.0,643.5,631.25,375.5,368.0,372.75,377.0,362.5,17.12,1573.0,17.15,17.24,17.015,629.25,49481.0,616.0,630.0,610.75
2023-12-14,636.5,18592.0,634.0,641.0,628.25,370.75,481.0,355.75,376.5,349.25,17.105,732.0,17.04,17.19,16.945,615.75,43536.0,608.0,619.5,606.5
2023-12-13,632.0,27729.0,655.0,659.5,628.25,354.25,368.0,344.25,356.25,338.0,16.94,1004.0,16.875,17.08,16.825,605.25,51751.0,624.25,626.5,602.5
2023-12-12,656.75,30234.0,632.25,662.5,630.25,343.75,409.0,347.0,353.25,342.5,16.89,893.0,17.01,17.04,16.865,625.5,52430.0,609.75,628.75,608.25
2023-12-11,632.25,27026.0,661.25,663.5,630.25,345.75,768.0,358.5,369.75,337.5,17.09,634.0,17.06,17.15,16.88,609.5,62771.0,632.0,633.25,607.25
2023-12-08,661.0,33075.0,666.0,675.5,658.0,355.5,475.0,360.0,370.25,355.5,17.04,396.0,17.185,17.3,17.01,631.75,71420.0,641.0,645.0,628.75
2023-12-07,667.5,26428.0,655.0,668.5,646.25,361.5,482.0,366.75,373.5,359.0,17.08,566.0,16.95,17.34,16.825,642.25,94092.0,631.25,645.0,621.75
2023-12-06,656.0,26252.0,661.5,677.5,653.75,372.0,380.0,392.0,398.0,371.0,16.95,319.0,16.83,17.0,16.805,633.5,108299.0,630.0,649.5,625.5
2023-12-05,662.75,21648.0,656.5,670.0,653.5,391.75,380.0,392.0,397.5,382.0,16.81,554.0,16.905,17.04,16.8,631.25,95508.0,619.0,636.25,616.25
2023-12-04,657.75,26371.0,645.0,660.5,642.0,395.0,632.0,387.25,395.0,386.0,16.9,965.0,17.145,17.195,16.88,620.5,92033.0,602.0,626.5,603.0
2023-12-01,646.75,18216.0,642.0,648.75,631.5,384.75,405.0,374.5,387.5,374.5,17.185,574.0,17.355,17.375,17.17,602.75,69330.0,595.5,610.0,589.0
2023-11-30,643.0,27494.0,634.0,646.25,629.25,370.0,370.0,362.0,376.0,358.25,17.345,663.0,17.395,17.575,17.285,598.0,73214.0,585.75,599.0,582.0
2023-11-29,634.25,34936.0,617.0,637.0,615.75,362.0,485.0,372.0,372.25,355.0,17.41,411.0,17.37,17.445,17.29,585.75,69835.0,573.75,587.5,571.5
2023-11-28,617.75,34681.0,597.5,619.5,595.0,368.75,720.0,378.75,387.0,365.0,17.38,701.0,17.26,17.45,17.17,572.0,78602.0,562.0,574.0,557.25
2023-11-27,596.5,30209.0,612.0,617.5,595.5,380.25,630.0,390.0,394.0,377.75,17.24,728.0,17.51,17.65,17.22,561.0,93177.0,578.5,582.0,556.25
2023-11-24,611.5,18074.0,621.75,622.0,608.5,389.75,436.0,387.5,392.0,381.75,17.565,617.0,17.21,17.675,17.165,577.25,42072.0,582.75,584.5,575.0
2023-11-22,624.25,22588.0,623.5,633.25,622.75,386.0,724.0,376.25,390.0,372.5,17.3,933.0,17.35,17.545,17.07,584.5,54524.0,584.0,591.5,583.0
2023-11-21,625.5,29889.0,620.5,630.0,616.75,375.25,505.0,366.5,375.75,360.75,17.5,635.0,17.36,17.525,17.285,582.75,66171.0,571.0,584.75,568.75
2023-11-20,620.25,24056.0,627.5,630.5,616.5,363.25,314.0,363.75,365.0,355.0,17.395,637.0,17.265,17.4,17.26,570.5,53386.0,575.75,579.75,567.75
2023-11-17,627.5,22072.0,627.75,629.75,627.0,361.0,437.0,370.0,363.0,359.75,17.405,1135.0,17.355,17.43,17.345,575.75,60953.0,576.0,578.0,575.25
2023-11-16,636.0,32342.0,645.75,651.75,634.25,369.0,348.0,367.5,371.75,360.5,17.25,1431.0,16.925,17.43,16.85,581.0,64026.0,590.25,590.75,575.25
2023-11-15,648.25,27625.0,649.5,657.75,643.25,351.75,233.0,358.75,358.75,347.75,16.94,963.0,16.75,17.01,16.73,588.0,78054.0,598.75,604.5,585.75
2023-11-14,649.5,25602.0,652.0,659.0,647.25,356.75,205.0,358.25,363.75,353.5,16.775,834.0,16.745,16.84,16.635,597.75,57083.0,604.25,608.75,595.75
2023-11-13,641.5,22670.0,641.75,643.5,631.5,356.25,410.0,348.5,359.0,348.5,16.745,1006.0,16.74,16.88,16.685,579.0,74847.0,575.0,582.0,567.25
2023-11-10,640.0,25959.0,647.0,648.25,638.75,346.75,354.0,334.0,354.5,325.0,16.74,1350.0,16.51,16.795,16.44,575.25,62675.0,581.75,583.0,570.75
2023-11-09,647.25,27697.0,652.25,654.25,641.5,333.0,305.0,342.0,345.25,331.5,16.515,824.0,16.42,16.56,16.31,580.75,78712.0,590.0,592.5,573.0
2023-11-08,655.0,41189.0,634.0,661.25,631.75,341.75,522.0,351.5,362.75,333.0,16.405,933.0,16.08,16.5,16.025,592.25,131470.0,571.5,598.75,570.25
2023-11-07,632.5,28398.0,644.75,645.5,629.75,352.0,657.0,366.0,366.75,350.75,16.055,754.0,15.815,16.2,15.775,570.25,94822.0,574.0,582.25,564.5
2023-11-06,645.75,19539.0,645.25,649.25,641.5,368.25,427.0,372.0,373.25,364.25,15.805,559.0,15.865,15.865,15.78,575.75,65508.0,574.0,577.25,571.0
2023-11-03,643.5,13998.0,640.0,647.5,638.5,372.0,287.0,377.0,382.0,370.25,15.855,847.0,15.83,15.935,15.685,572.5,40291.0,565.75,574.5,563.75
2023-11-02,641.5,19885.0,640.0,650.25,636.0,376.5,230.0,383.5,383.5,373.75,15.815,982.0,15.97,16.07,15.73,565.5,50057.0,562.25,569.5,557.25
2023-11-01,640.0,26053.0,630.25,641.0,626.0,379.5,898.0,388.0,389.75,373.0,15.995,797.0,16.02,16.165,15.96,561.75,54996.0,557.5,564.75,554.75
2023-10-31,629.25,25013.0,646.0,646.25,625.5,389.25,552.0,403.0,403.25,382.25,16.005,592.0,16.11,16.125,16.0,556.25,67571.0,568.25,568.5,554.5
2023-10-30,645.0,26681.0,644.0,652.75,632.25,403.75,416.0,399.0,406.75,399.0,16.1,939.0,16.195,16.235,16.03,566.0,58605.0,576.0,577.0,565.25
2023-10-27,643.0,26200.0,653.75,656.5,639.5,402.25,446.0,395.75,402.5,393.25,16.21,678.0,16.295,16.355,16.195,575.5,46151.0,580.25,582.5,571.0
2023-10-26,654.75,23442.0,649.0,659.25,644.0,397.25,417.0,394.5,398.0,387.25,16.325,846.0,16.295,16.375,16.2,579.5,70270.0,569.25,580.5,563.25
2023-10-25,649.0,24524.0,662.75,667.75,648.5,393.25,364.0,389.0,394.5,383.75,16.305,1148.0,16.335,16.375,16.15,568.5,55717.0,580.0,586.25,567.0
2023-10-24,663.0,15714.0,670.25,670.0,657.0,389.75,304.0,383.25,392.5,379.5,16.365,1420.0,16.48,16.56,16.29,580.5,46389.0,587.75,583.75,572.75
2023-10-23,670.75,12885.0,673.5,674.0,669.25,385.5,390.0,385.25,387.75,376.25,16.48,1360.0,16.375,16.485,16.36,587.25,46364.0,590.5,590.5,586.5
2023-10-20,670.0,17111.0,676.25,687.75,667.5,382.5,376.0,376.25,389.0,375.75,15.835,496.0,15.775,15.9,15.765,586.0,79190.0,594.0,604.5,583.25
