date,Close,Volume,Open,High,Low
2024-03-20,580.5,24115.0,582.0,584.25,567.25
2024-03-19,582.75,25124.0,574.75,587.5,571.5
2024-03-18,573.75,22533.0,568.0,578.75,563.5
2024-03-15,566.25,23550.0,575.5,577.5,561.0
2024-03-14,574.75,27839.0,586.75,586.75,570.75
2024-03-13,587.5,25972.0,597.0,599.5,583.0
2024-03-12,597.25,25927.0,595.5,605.25,590.0
2024-03-11,598.75,33554.0,588.0,603.0,573.25
2024-03-08,588.75,24191.0,573.75,589.75,571.0
2024-03-07,574.75,34493.0,557.5,580.0,555.0
2024-03-06,556.25,25656.0,568.0,568.75,551.5
2024-03-05,569.25,28168.0,579.75,582.0,568.25
2024-03-04,580.25,26938.0,565.0,581.0,561.0
2024-03-01,564.5,33288.0,586.75,586.75,560.75
2024-02-29,587.25,24860.0,581.0,588.75,575.75
2024-02-28,581.0,20307.0,585.0,587.0,573.25
2024-02-27,585.75,27000.0,576.0,591.25,575.5
2024-02-26,576.5,30740.0,566.0,577.25,557.75
2024-02-23,565.5,25683.0,571.0,576.0,560.75
2024-02-22,571.5,24955.0,574.5,590.0,570.25
2024-02-21,574.5,28438.0,581.0,582.5,568.75
2024-02-20,581.0,43497.0,561.0,583.25,558.75
2024-02-16,561.5,26314.0,570.25,571.0,556.75
2024-02-15,570.0,38369.0,584.25,585.25,568.25
2024-02-14,584.0,26397.0,592.0,593.0,578.5
2024-02-13,592.25,26398.0,597.0,597.0,588.5
2024-02-12,598.75,29454.0,601.5,605.75,595.5
2024-02-09,601.5,31174.0,602.25,611.75,594.75
2024-02-08,601.0,31810.0,617.25,619.0,597.25
2024-02-07,618.25,27042.0,617.0,626.0,613.0
2024-02-06,618.5,19130.0,614.0,622.25,611.75
2024-02-05,614.0,24713.0,626.0,626.0,610.75
2024-02-02,625.0,27293.0,620.0,634.5,618.5
2024-02-01,620.75,22953.0,621.75,624.5,613.0
2024-01-31,622.0,26928.0,629.75,630.0,617.0
2024-01-30,630.75,27068.0,617.5,632.75,612.0
2024-01-29,618.25,23311.0,625.5,626.75,607.25
2024-01-26,624.75,32147.0,637.0,641.0,619.25
2024-01-25,637.0,38929.0,624.0,637.75,624.0
2024-01-24,625.75,21816.0,617.0,627.75,616.25
2024-01-23,617.5,29483.0,608.0,624.75,604.5
2024-01-22,607.0,19591.0,609.25,611.5,601.0
2024-01-19,608.0,19642.0,605.0,617.25,604.0
2024-01-18,605.25,25155.0,594.75,607.0,586.75
2024-01-17,594.0,19618.0,602.25,609.0,593.0
2024-01-16,601.5,21893.0,614.0,622.5,600.25
2024-01-12,615.25,29288.0,616.75,622.5,607.0
2024-01-11,616.0,21434.0,624.25,629.25,613.5
2024-01-10,624.5,20657.0,627.0,627.0,618.25
2024-01-09,627.0,25721.0,615.5,633.75,614.0
2024-01-08,615.25,25445.0,628.25,629.75,609.25
2024-01-05,628.0,14917.0,624.75,636.0,623.5
2024-01-04,625.75,18500.0,621.5,627.25,611.5
2024-01-03,621.5,20227.0,630.25,631.75,615.5
2024-01-02,629.0,20623.0,640.5,642.0,626.25
2023-12-29,642.0,15947.0,643.0,648.5,637.25
2023-12-28,643.75,18231.0,634.25,647.0,633.25
2023-12-27,635.0,16663.0,642.0,643.0,627.25
2023-12-26,642.75,17871.0,622.5,647.5,620.25
2023-12-22,623.0,15055.0,626.5,633.5,622.0
2023-12-21,626.75,16795.0,626.5,632.75,619.25
2023-12-20,625.0,16719.0,641.0,644.75,624.0
2023-12-19,641.5,19265.0,629.0,643.25,623.0
2023-12-18,627.75,20718.0,643.5,643.5,624.0
2023-12-15,642.75,20563.0,636.0,643.5,631.25
2023-12-14,636.5,18592.0,634.0,641.0,628.25
2023-12-13,632.0,27729.0,655.0,659.5,628.25
2023-12-12,656.75,30234.0,632.25,662.5,630.25
2023-12-11,632.25,27026.0,661.25,663.5,630.25
2023-12-08,661.0,33075.0,666.0,675.5,658.0
2023-12-07,667.5,26428.0,655.0,668.5,646.25
2023-12-06,656.0,26252.0,661.5,677.5,653.75
2023-12-05,662.75,21648.0,656.5,670.0,653.5
2023-12-04,657.75,26371.0,645.0,660.5,642.0
2023-12-01,646.75,18216.0,642.0,648.75,631.5
2023-11-30,643.0,27494.0,634.0,646.25,629.25
2023-11-29,634.25,34936.0,617.0,637.0,615.75
2023-11-28,617.75,34681.0,597.5,619.5,595.0
2023-11-27,596.5,30209.0,612.0,617.5,595.5
2023-11-24,611.5,18074.0,621.75,622.0,608.5
2023-11-22,624.25,22588.0,623.5,633.25,622.75
2023-11-21,625.5,29889.0,620.5,630.0,616.75
2023-11-20,620.25,24056.0,627.5,630.5,616.5
2023-11-17,627.5,22072.0,627.75,629.75,627.0
2023-11-16,636.0,32342.0,645.75,651.75,634.25
2023-11-15,648.25,27625.0,649.5,657.75,643.25
2023-11-14,649.5,25602.0,652.0,659.0,647.25
2023-11-13,641.5,22670.0,641.75,643.5,631.5
2023-11-10,640.0,25959.0,647.0,648.25,638.75
2023-11-09,647.25,27697.0,652.25,654.25,641.5
2023-11-08,655.0,41189.0,634.0,661.25,631.75
2023-11-07,632.5,28398.0,644.75,645.5,629.75
2023-11-06,645.75,19539.0,645.25,649.25,641.5
2023-11-03,643.5,13998.0,640.0,647.5,638.5
2023-11-02,641.5,19885.0,640.0,650.25,636.0
2023-11-01,640.0,26053.0,630.25,641.0,626.0
2023-10-31,629.25,25013.0,646.0,646.25,625.5
2023-10-30,645.0,26681.0,644.0,652.75,632.25
2023-10-27,643.0,26200.0,653.75,656.5,639.5
2023-10-26,654.75,23442.0,649.0,659.25,644.0
2023-10-25,649.0,24524.0,662.75,667.75,648.5
2023-10-24,663.0,15714.0,670.25,670.0,657.0
2023-10-23,670.75,12885.0,673.5,674.0,669.25
2023-10-20,670.0,17111.0,676.25,687.75,667.5
2023-10-19,676.25,17219.0,670.5,677.75,663.75
2023-10-18,670.5,15309.0,668.5,678.0,667.5
2023-10-17,666.75,14536.0,669.0,678.5,665.0
2023-10-16,668.75,15055.0,668.5,674.0,662.5
2023-10-13,669.0,17790.0,675.75,688.0,666.75
2023-10-12,675.0,26813.0,668.0,678.25,655.25
2023-10-11,667.25,13585.0,671.5,674.0,662.5
2023-10-10,671.25,15099.0,685.75,686.75,668.0
2023-10-09,686.0,17186.0,676.75,690.25,676.25
2023-10-06,673.75,16699.0,686.25,692.5,672.0
2023-10-05,690.5,21223.0,668.0,692.25,666.5
2023-10-04,666.5,20195.0,680.5,686.0,665.25
2023-10-03,683.25,20797.0,679.5,687.5,670.75
2023-10-02,676.75,24238.0,664.25,682.75,663.75
2023-09-29,663.75,35020.0,685.0,691.75,662.0
2023-09-28,685.0,21740.0,694.0,696.5,681.0
2023-09-27,694.5,23986.0,710.25,715.5,692.0
2023-09-26,710.5,14256.0,715.0,721.75,707.0
2023-09-25,714.5,15732.0,713.0,715.75,703.0
2023-09-22,711.25,16485.0,710.5,717.75,707.0
2023-09-21,710.5,17226.0,728.75,729.5,708.75
2023-09-20,729.0,17057.0,730.5,741.0,722.0
2023-09-19,731.0,15490.0,733.0,737.75,722.75
2023-09-18,735.0,16771.0,744.5,744.5,725.0
2023-09-15,746.5,18554.0,735.5,748.5,733.0
2023-09-14,736.5,18690.0,744.0,745.0,726.25
2023-09-13,744.75,17784.0,729.5,746.25,726.0
2023-09-12,730.75,26206.0,723.0,735.5,709.0
2023-09-11,723.75,17833.0,718.5,726.5,717.5
2023-09-08,732.0,13327.0,737.0,740.25,728.75
2023-09-07,737.0,17088.0,748.0,754.25,735.5
2023-09-06,749.5,24553.0,724.5,750.75,722.75
2023-09-05,724.5,17039.0,724.5,731.5,713.75
2023-09-01,722.75,26384.0,729.0,746.75,722.0
2023-08-31,727.25,20293.0,730.75,737.75,715.25
2023-08-30,731.75,20200.0,729.5,733.5,721.25
2023-08-29,729.25,24482.0,749.25,749.75,728.0
2023-08-28,749.75,20524.0,765.0,769.5,747.75
2023-08-25,764.5,20442.0,762.5,771.75,755.0
2023-08-24,762.5,17082.0,763.25,765.75,755.0
2023-08-23,763.75,16092.0,748.75,766.75,743.75
2023-08-22,747.75,15061.0,748.0,756.5,742.5
2023-08-21,748.25,18702.0,765.0,770.0,741.75
2023-08-18,760.75,16737.0,743.0,762.5,742.0
2023-08-17,741.5,16614.0,751.75,754.0,739.5
2023-08-16,752.5,18097.0,745.0,755.75,739.0
2023-08-15,745.5,18932.0,759.25,763.0,742.75
2023-08-14,759.25,22251.0,770.0,771.25,743.25
2023-08-11,766.0,21446.0,779.75,782.25,763.5
2023-08-10,779.25,20602.0,776.0,787.75,775.5
2023-08-09,776.0,23955.0,781.0,788.5,770.5
2023-08-08,781.5,22431.0,782.0,789.25,771.25
2023-08-07,782.25,24928.0,779.25,789.0,766.0
2023-08-04,752.5,25884.0,770.25,785.0,752.0
2023-08-03,767.5,22780.0,787.0,794.25,763.75
2023-08-02,787.0,29753.0,804.0,829.5,774.25
2023-08-01,804.5,26780.0,815.0,824.0,792.25
2023-07-31,812.75,31995.0,857.5,858.0,807.0
2023-07-28,856.25,20091.0,865.5,868.0,842.75
2023-07-27,866.5,23835.0,865.0,887.5,858.5
2023-07-26,865.25,33775.0,910.25,910.5,855.5
2023-07-25,912.75,30130.0,915.5,929.75,891.75
2023-07-24,918.5,28272.0,861.75,920.25,860.5
2023-07-21,860.25,22885.0,872.0,878.0,842.0
2023-07-20,874.75,26661.0,863.0,891.0,853.0
2023-07-19,866.75,36883.0,826.75,887.25,821.25
2023-07-18,827.25,15824.0,815.0,832.75,806.5
2023-07-17,815.25,20953.0,829.0,847.5,811.0
2023-07-14,829.0,17058.0,806.25,829.5,801.0
2023-07-13,806.0,22168.0,802.25,809.75,795.25
2023-07-12,803.0,27732.0,815.0,827.75,792.0
2023-07-11,817.0,18188.0,811.75,829.25,810.0
2023-07-10,811.25,19181.0,818.5,831.0,808.5
2023-07-07,818.25,19265.0,840.0,844.0,815.75
2023-07-06,843.75,23634.0,841.25,855.75,831.25
2023-07-05,846.25,32422.0,804.0,853.25,801.75
2023-07-03,796.5,20831.0,799.0,824.25,787.25
2023-06-30,793.25,21804.0,800.0,827.5,792.25
2023-06-29,800.0,20061.0,805.0,815.25,796.0
2023-06-28,805.75,20936.0,838.0,841.75,802.5
2023-06-27,839.5,20255.0,868.25,872.0,829.75
2023-06-26,868.25,21695.0,858.0,888.5,853.75
2023-06-23,861.75,24821.0,871.0,872.0,853.25
2023-06-22,872.5,28336.0,867.5,889.5,863.75
2023-06-21,872.0,24328.0,836.75,875.0,836.0
2023-06-20,834.5,21108.0,835.0,845.5,825.75
2023-06-16,839.0,26915.0,807.25,849.0,802.5
2023-06-15,808.75,17395.0,782.25,809.5,780.25
2023-06-14,782.25,18982.0,789.75,791.5,776.75
2023-06-13,790.25,19335.0,796.0,802.75,782.25
2023-06-12,794.25,18906.0,794.75,798.75,783.25
2023-06-09,797.75,28264.0,803.75,804.75,785.25
2023-06-08,804.75,26126.0,788.0,807.25,782.0
2023-06-07,788.0,32080.0,819.5,823.5,785.75
2023-06-06,820.25,25143.0,822.0,847.25,805.5
2023-06-05,822.25,20074.0,812.75,830.75,810.5
2023-06-02,812.25,20341.0,802.25,817.0,785.5
2023-06-01,802.5,27081.0,791.0,812.75,789.25
2023-05-31,790.5,33286.0,783.0,795.75,763.75
2023-05-30,783.75,30462.0,818.25,819.0,778.5
2023-05-26,819.25,20037.0,821.25,833.5,812.25
2023-05-25,818.0,27762.0,813.0,831.25,802.75
