date,Close,Volume,Open,High,Low
2024-03-20,17.695,383.0,17.725,17.73,17.68
2024-03-19,17.73,385.0,17.78,17.84,17.705
2024-03-18,17.77,535.0,17.85,17.85,17.74
2024-03-15,17.82,442.0,17.865,17.885,17.81
2024-03-14,17.865,350.0,17.97,18.0,17.85
2024-03-13,17.975,472.0,17.86,17.99,17.835
2024-03-12,17.855,355.0,17.915,17.92,17.83
2024-03-11,17.83,396.0,17.88,18.0,17.82
2024-03-08,17.88,501.0,17.85,18.01,17.775
2024-03-07,17.82,859.0,17.955,18.035,17.805
2024-03-06,17.93,1079.0,18.2,18.21,17.905
2024-03-05,18.105,857.0,18.415,18.415,18.09
2024-03-04,18.335,499.0,18.51,18.7,18.265
2024-03-01,18.61,578.0,18.26,18.645,18.185
2024-02-29,18.285,343.0,18.325,18.495,18.26
2024-02-28,18.375,1257.0,18.36,18.49,18.245
2024-02-27,18.355,864.0,18.6,18.6,18.215
2024-02-26,18.645,683.0,18.855,18.935,18.565
2024-02-23,18.935,1040.0,18.825,19.07,18.45
2024-02-22,18.82,1910.0,18.555,18.9,18.2
2024-02-21,18.515,849.0,18.41,18.585,18.37
2024-02-20,18.175,1312.0,18.32,18.41,18.08
2024-02-16,18.32,1377.0,18.56,18.655,18.25
2024-02-15,18.63,1418.0,18.62,18.895,18.495
2024-02-14,18.62,1300.0,18.33,18.74,18.31
2024-02-13,18.365,1019.0,18.575,18.74,18.3
2024-02-12,18.625,1163.0,18.88,19.19,18.55
2024-02-09,18.92,1348.0,18.655,18.975,18.655
2024-02-08,18.65,726.0,18.445,18.695,18.445
2024-02-07,18.485,564.0,18.53,18.58,18.36
2024-02-06,18.575,562.0,18.34,18.58,18.34
2024-02-05,18.31,571.0,18.395,18.455,18.26
2024-02-02,18.435,797.0,18.08,18.48,18.08
2024-02-01,18.105,682.0,18.03,18.19,17.885
2024-01-31,17.865,997.0,18.14,18.275,17.85
2024-01-30,18.175,812.0,18.08,18.295,17.95
2024-01-29,18.09,619.0,17.955,18.17,17.905
2024-01-26,17.985,648.0,17.96,18.015,17.87
2024-01-25,17.965,1118.0,17.78,18.06,17.72
2024-01-24,17.775,763.0,17.45,17.8,17.45
2024-01-23,17.435,496.0,17.555,17.56,17.42
2024-01-22,17.555,358.0,17.685,17.69,17.51
2024-01-19,17.635,346.0,17.625,17.72,17.555
2024-01-18,17.6,340.0,17.6,17.73,17.575
2024-01-17,17.645,312.0,17.54,17.69,17.54
2024-01-16,17.555,469.0,17.67,17.745,17.505
2024-01-12,17.67,305.0,17.56,17.705,17.495
2024-01-11,17.52,313.0,17.5,17.58,17.495
2024-01-10,17.5,290.0,17.575,17.61,17.45
2024-01-09,17.595,388.0,17.46,17.62,17.44
2024-01-08,17.49,626.0,17.65,17.66,17.355
2024-01-05,17.625,1008.0,17.315,17.68,17.275
2024-01-04,17.29,926.0,17.335,17.425,17.21
2024-01-03,17.315,1519.0,17.87,18.14,17.29
2024-01-02,18.03,1574.0,17.52,18.075,17.52
2023-12-29,17.52,442.0,17.45,17.58,17.415
2023-12-28,17.455,899.0,17.5,17.515,17.39
2023-12-27,17.53,940.0,17.595,17.69,17.495
2023-12-26,17.605,549.0,17.695,17.72,17.59
2023-12-22,17.685,662.0,17.65,17.73,17.58
2023-12-21,17.625,1196.0,17.61,17.74,17.61
2023-12-20,17.655,1640.0,17.565,17.675,17.51
2023-12-19,17.235,1211.0,17.33,17.43,17.17
2023-12-18,17.385,861.0,17.15,17.44,17.105
2023-12-15,17.12,1573.0,17.15,17.24,17.015
2023-12-14,17.105,732.0,17.04,17.19,16.945
2023-12-13,16.94,1004.0,16.875,17.08,16.825
2023-12-12,16.89,893.0,17.01,17.04,16.865
2023-12-11,17.09,634.0,17.06,17.15,16.88
2023-12-08,17.04,396.0,17.185,17.3,17.01
2023-12-07,17.08,566.0,16.95,17.34,16.825
2023-12-06,16.95,319.0,16.83,17.0,16.805
2023-12-05,16.81,554.0,16.905,17.04,16.8
2023-12-04,16.9,965.0,17.145,17.195,16.88
2023-12-01,17.185,574.0,17.355,17.375,17.17
2023-11-30,17.345,663.0,17.395,17.575,17.285
2023-11-29,17.41,411.0,17.37,17.445,17.29
2023-11-28,17.38,701.0,17.26,17.45,17.17
2023-11-27,17.24,728.0,17.51,17.65,17.22
2023-11-24,17.565,617.0,17.21,17.675,17.165
2023-11-22,17.3,933.0,17.35,17.545,17.07
2023-11-21,17.5,635.0,17.36,17.525,17.285
2023-11-20,17.395,637.0,17.265,17.4,17.26
2023-11-17,17.405,1135.0,17.355,17.43,17.345
2023-11-16,17.25,1431.0,16.925,17.43,16.85
2023-11-15,16.94,963.0,16.75,17.01,16.73
2023-11-14,16.775,834.0,16.745,16.84,16.635
2023-11-13,16.745,1006.0,16.74,16.88,16.685
2023-11-10,16.74,1350.0,16.51,16.795,16.44
2023-11-09,16.515,824.0,16.42,16.56,16.31
2023-11-08,16.405,933.0,16.08,16.5,16.025
2023-11-07,16.055,754.0,15.815,16.2,15.775
2023-11-06,15.805,559.0,15.865,15.865,15.78
2023-11-03,15.855,847.0,15.83,15.935,15.685
2023-11-02,15.815,982.0,15.97,16.07,15.73
2023-11-01,15.995,797.0,16.02,16.165,15.96
2023-10-31,16.005,592.0,16.11,16.125,16.0
2023-10-30,16.1,939.0,16.195,16.235,16.03
2023-10-27,16.21,678.0,16.295,16.355,16.195
2023-10-26,16.325,846.0,16.295,16.375,16.2
2023-10-25,16.305,1148.0,16.335,16.375,16.15
2023-10-24,16.365,1420.0,16.48,16.56,16.29
2023-10-23,16.48,1360.0,16.375,16.485,16.36
2023-10-20,15.835,496.0,15.775,15.9,15.765
2023-10-19,15.775,455.0,15.85,15.925,15.765
2023-10-18,15.86,829.0,15.86,15.94,15.825
2023-10-17,15.855,426.0,15.795,15.99,15.785
2023-10-16,15.805,342.0,15.95,15.96,15.755
2023-10-13,15.955,432.0,15.925,16.005,15.86
2023-10-12,15.93,470.0,15.91,16.05,15.895
2023-10-11,15.93,676.0,15.895,15.96,15.785
2023-10-10,15.87,898.0,15.81,15.935,15.63
2023-10-09,15.825,796.0,16.02,16.07,15.645
2023-10-06,16.045,541.0,15.65,16.09,15.65
2023-10-05,15.675,676.0,15.645,15.79,15.6
2023-10-04,15.645,602.0,15.77,15.8,15.635
2023-10-03,15.765,615.0,15.89,15.89,15.73
2023-10-02,15.88,485.0,15.885,16.05,15.875
2023-09-29,15.91,547.0,16.09,16.09,15.825
2023-09-28,16.13,428.0,16.1,16.2,16.07
2023-09-27,16.175,423.0,16.19,16.265,16.055
2023-09-26,16.19,270.0,15.87,16.21,15.825
2023-09-25,15.85,300.0,15.825,15.965,15.795
2023-09-22,15.825,260.0,15.81,15.885,15.765
2023-09-21,15.795,343.0,15.96,16.0,15.795
2023-09-20,15.96,161.0,15.96,16.15,15.905
