date,Close,Volume,Open,High,Low
2024-03-20,545.0,51390.0,551.75,553.0,537.0
2024-03-19,552.5,48935.0,542.75,553.75,539.0
2024-03-18,542.75,55960.0,531.25,544.0,527.0
2024-03-15,528.5,38397.0,532.0,537.5,526.75
2024-03-14,532.25,57717.0,542.75,543.0,528.25
2024-03-13,544.25,52285.0,549.25,554.0,536.75
2024-03-12,547.5,58561.0,547.0,556.0,541.25
2024-03-11,547.25,76964.0,539.5,550.25,523.5
2024-03-08,537.75,70521.0,529.5,542.75,526.0
2024-03-07,528.5,90392.0,533.25,538.75,528.0
2024-03-06,531.0,102045.0,551.5,551.5,529.5
2024-03-05,551.0,62334.0,563.5,565.25,546.25
2024-03-04,564.0,42839.0,559.25,568.0,553.0
2024-03-01,557.75,64438.0,575.0,576.75,555.5
2024-02-29,576.25,48841.0,576.25,581.5,569.0
2024-02-28,574.75,54023.0,584.25,585.0,571.5
2024-02-27,584.25,56939.0,573.75,589.5,571.5
2024-02-26,574.75,59021.0,569.75,576.25,560.0
2024-02-23,569.0,55020.0,580.25,587.5,568.0
2024-02-22,579.25,74376.0,576.0,594.25,574.5
2024-02-21,578.0,51050.0,578.75,580.5,571.0
2024-02-20,579.25,73988.0,556.75,581.75,553.5
2024-02-16,559.0,59407.0,567.0,568.75,555.0
2024-02-15,567.25,67915.0,583.0,583.25,566.0
2024-02-14,583.0,68830.0,596.5,597.25,577.75
2024-02-13,598.5,74174.0,597.0,603.5,592.25
2024-02-12,597.5,61450.0,596.25,603.0,588.5
2024-02-09,596.75,92527.0,591.25,605.5,588.0
2024-02-08,588.5,70662.0,601.25,602.0,583.75
2024-02-07,602.0,70872.0,594.75,606.75,590.75
2024-02-06,595.0,45239.0,590.5,597.5,588.0
2024-02-05,590.25,48937.0,600.0,601.75,586.75
2024-02-02,599.75,61116.0,601.5,611.5,595.75
2024-02-01,601.5,60336.0,595.25,603.0,587.0
2024-01-31,595.25,37744.0,605.0,605.0,591.75
2024-01-30,605.5,46394.0,593.5,606.75,584.5
2024-01-29,593.5,39037.0,601.25,601.75,587.5
2024-01-26,600.25,65700.0,612.0,614.0,592.25
2024-01-25,612.25,51904.0,611.5,617.25,606.5
2024-01-24,610.75,53043.0,598.0,612.25,596.5
2024-01-23,598.25,40427.0,596.0,606.75,593.75
2024-01-22,596.5,34071.0,593.5,600.25,587.0
2024-01-19,593.25,44643.0,586.25,598.0,584.75
2024-01-18,585.5,47491.0,583.5,587.0,573.25
2024-01-17,582.5,65836.0,581.5,595.75,577.75
2024-01-16,582.0,57865.0,596.0,602.25,576.75
2024-01-12,596.0,77214.0,604.0,611.75,587.25
2024-01-11,603.75,34593.0,610.0,614.75,602.0
2024-01-10,610.75,36946.0,610.25,612.0,603.75
2024-01-09,610.0,52407.0,596.0,613.75,594.0
2024-01-08,596.25,65036.0,617.0,617.25,593.0
2024-01-05,616.0,41063.0,613.0,621.5,611.5
2024-01-04,613.5,60641.0,601.5,614.5,591.25
2024-01-03,600.25,60321.0,608.0,609.75,598.25
2024-01-02,606.75,57520.0,628.75,628.75,604.75
2023-12-29,628.0,31803.0,631.0,633.5,621.5
2023-12-28,631.5,30507.0,624.25,636.25,621.75
2023-12-27,623.0,36172.0,636.0,637.5,619.25
2023-12-26,636.25,39607.0,615.0,639.75,611.5
2023-12-22,616.25,23646.0,612.5,618.25,610.75
2023-12-21,612.5,31513.0,611.5,617.25,610.25
2023-12-20,610.0,37916.0,622.5,625.25,609.0
2023-12-19,622.75,40023.0,618.25,624.25,611.25
2023-12-18,617.0,40465.0,629.75,632.0,614.75
2023-12-15,629.25,49481.0,616.0,630.0,610.75
2023-12-14,615.75,43536.0,608.0,619.5,606.5
2023-12-13,605.25,51751.0,624.25,626.5,602.5
2023-12-12,625.5,52430.0,609.75,628.75,608.25
2023-12-11,609.5,62771.0,632.0,633.25,607.25
2023-12-08,631.75,71420.0,641.0,645.0,628.75
2023-12-07,642.25,94092.0,631.25,645.0,621.75
2023-12-06,633.5,108299.0,630.0,649.5,625.5
2023-12-05,631.25,95508.0,619.0,636.25,616.25
2023-12-04,620.5,92033.0,602.0,626.5,603.0
2023-12-01,602.75,69330.0,595.5,610.0,589.0
2023-11-30,598.0,73214.0,585.75,599.0,582.0
2023-11-29,585.75,69835.0,573.75,587.5,571.5
2023-11-28,572.0,78602.0,562.0,574.0,557.25
2023-11-27,561.0,93177.0,578.5,582.0,556.25
2023-11-24,577.25,42072.0,582.75,584.5,575.0
2023-11-22,584.5,54524.0,584.0,591.5,583.0
2023-11-21,582.75,66171.0,571.0,584.75,568.75
2023-11-20,570.5,53386.0,575.75,579.75,567.75
2023-11-17,575.75,60953.0,576.0,578.0,575.25
2023-11-16,581.0,64026.0,590.25,590.75,575.25
2023-11-15,588.0,78054.0,598.75,604.5,585.75
2023-11-14,597.75,57083.0,604.25,608.75,595.75
2023-11-13,579.0,74847.0,575.0,582.0,567.25
2023-11-10,575.25,62675.0,581.75,583.0,570.75
2023-11-09,580.75,78712.0,590.0,592.5,573.0
2023-11-08,592.25,131470.0,571.5,598.75,570.25
2023-11-07,570.25,94822.0,574.0,582.25,564.5
2023-11-06,575.75,65508.0,574.0,577.25,571.0
2023-11-03,572.5,40291.0,565.75,574.5,563.75
2023-11-02,565.5,50057.0,562.25,569.5,557.25
2023-11-01,561.75,54996.0,557.5,564.75,554.75
2023-10-31,556.25,67571.0,568.25,568.5,554.5
2023-10-30,566.0,58605.0,576.0,577.0,565.25
2023-10-27,575.5,46151.0,580.25,582.5,571.0
2023-10-26,579.5,70270.0,569.25,580.5,563.25
2023-10-25,568.5,55717.0,580.0,586.25,567.0
2023-10-24,580.5,46389.0,587.75,583.75,572.75
2023-10-23,587.25,46364.0,590.5,590.5,586.5
2023-10-20,586.0,79190.0,594.0,604.5,583.25
2023-10-19,594.0,63874.0,579.75,594.5,576.5
2023-10-18,580.25,51147.0,572.5,584.0,571.25
2023-10-17,570.5,52494.0,577.0,582.25,568.5
2023-10-16,577.25,54893.0,580.0,588.5,575.25
2023-10-13,579.75,85372.0,572.0,586.25,569.5
2023-10-12,571.5,80352.0,557.25,574.5,547.25
2023-10-11,556.0,40897.0,559.0,560.75,551.0
2023-10-10,558.5,45930.0,573.75,574.75,555.5
2023-10-09,572.75,43826.0,573.25,581.5,570.0
2023-10-06,568.25,47665.0,576.0,580.25,566.5
2023-10-05,578.25,67313.0,559.75,580.25,559.0
2023-10-04,560.0,64793.0,567.5,569.75,551.75
2023-10-03,568.5,72921.0,568.25,575.0,562.75
2023-10-02,564.75,91755.0,545.0,567.0,541.25
2023-09-29,541.5,120068.0,579.5,585.5,540.0
2023-09-28,578.75,42513.0,580.5,583.5,575.25
2023-09-27,579.5,53280.0,589.25,594.5,578.5
2023-09-26,589.5,47359.0,589.0,596.75,583.25
2023-09-25,589.0,42415.0,577.0,590.0,573.75
2023-09-22,579.5,42262.0,576.5,582.5,572.75
2023-09-21,575.75,48761.0,589.0,590.25,575.0
2023-09-20,588.75,61178.0,585.25,596.25,581.5
2023-09-19,584.0,56158.0,588.0,592.75,581.0
2023-09-18,591.25,62302.0,604.0,604.25,587.0
2023-09-15,604.25,64228.0,594.25,607.5,591.75
2023-09-14,593.75,52609.0,595.5,597.75,583.5
2023-09-13,597.25,60417.0,587.5,601.5,584.75
2023-09-12,587.5,62028.0,584.25,591.0,570.0
2023-09-11,584.5,49137.0,585.25,587.75,583.5
2023-09-08,595.75,43704.0,600.0,602.75,590.5
2023-09-07,599.75,41082.0,609.0,613.75,598.0
2023-09-06,609.0,43718.0,601.25,615.5,599.0
2023-09-05,599.25,45608.0,598.75,605.75,592.25
2023-09-01,595.5,48960.0,602.0,612.75,595.25
2023-08-31,602.0,61381.0,605.0,615.75,593.5
2023-08-30,607.0,61501.0,602.75,610.75,599.5
2023-08-29,600.5,66274.0,616.5,618.25,599.5
2023-08-28,617.0,44296.0,622.0,628.5,612.5
2023-08-25,621.75,54084.0,632.25,637.75,615.5
2023-08-24,631.75,38092.0,642.25,642.5,626.5
2023-08-23,639.75,40423.0,629.0,643.5,624.25
2023-08-22,627.5,41671.0,625.0,637.0,621.25
2023-08-21,625.5,40238.0,644.0,646.25,622.75
2023-08-18,639.0,45714.0,615.25,641.25,615.0
2023-08-17,615.25,41962.0,625.0,626.25,612.0
2023-08-16,623.0,53902.0,624.5,633.0,617.25
2023-08-15,623.75,63345.0,644.5,644.5,621.75
2023-08-14,641.5,51989.0,661.0,661.5,631.75
2023-08-11,653.75,60227.0,664.5,665.25,651.25
2023-08-10,663.75,54011.0,665.0,669.75,660.75
2023-08-09,661.75,48817.0,681.5,683.25,660.25
2023-08-08,656.25,74526.0,657.5,662.25,643.0
2023-08-07,657.5,94843.0,646.0,663.75,636.0
2023-08-04,633.0,67745.0,627.75,653.75,627.25
2023-08-03,627.0,62652.0,639.25,648.25,626.25
