date,China_Open,China_Price,China_High,China_Low,China_Volume,China_Change,Brazil_Open,Brazil_Close,Brazil_High,Brazil_Low,Brazil_Volume,Brazil_Change
2024-3-20,"2,425.00",336.148,"2,430.00","2,420.00",319.17K,0.08%,60.68,12.337,62.1,60.2,9.07K,-1.61%
2024-3-19,"2,423.00",338.644,"2,439.00","2,414.00",634.87K,-1.14%,61.67,12.066,61.84,59.73,0.22K,1.77%
2024-3-18,"2,451.00",341.057,"2,462.00","2,437.00",569.57K,0.57%,60.6,12.09,61.67,58.61,0.43K,-0.66%
2024-3-15,"2,437.00",337.136,"2,457.00","2,422.00",576.27K,1.25%,61.0,12.598,63.22,61.0,0.34K,-3.11%
2024-3-14,"2,407.00",331.823,"2,430.00","2,337.00",0.58K,-0.12%,62.96,12.628,63.18,62.91,0.00K,-0.62%
2024-3-13,"2,410.00",335.309,"2,410.00","2,410.00",0.00K,0.04%,63.35,12.754,63.62,63.12,0.13K,0.13%
2024-3-12,"2,409.00",335.278,"2,410.00","2,408.00",2.11K,0.17%,63.27,12.67,63.46,62.75,0.10K,0.57%
2024-3-11,"2,405.00",334.753,"2,405.00","2,405.00",,0.00%,62.91,12.682,63.68,62.65,3.67K,-0.43%
2024-3-8,"2,405.00",336.478,"2,418.00","2,396.00",4.48K,-0.54%,63.18,12.723,63.52,62.85,0.01K,-0.36%
2024-3-7,"2,418.00",336.16,"2,418.00","2,418.00",1.56K,0.33%,63.41,12.708,63.56,62.72,0.14K,1.13%
2024-3-6,"2,410.00",334.82,"2,410.00","2,410.00",0.20K,0.25%,62.7,12.608,62.86,62.09,0.24K,0.29%
2024-3-5,"2,404.00",334.167,"2,405.00","2,388.00",0.03K,-0.17%,62.52,12.556,62.78,62.02,0.05K,0.99%
2024-3-4,"2,408.00",334.468,"2,409.00","2,408.00",0.59K,-0.29%,61.91,12.456,62.66,61.59,0.74K,1.41%
2024-3-1,"2,415.00",336.955,"2,425.00","2,405.00",0.20K,0.84%,61.05,12.162,61.29,60.1,0.06K,1.55%
2024-2-29,"2,395.00",332.781,"2,442.00","2,385.00",6.82K,-0.13%,60.12,12.071,60.78,60.02,0.09K,-0.22%
2024-2-28,"2,398.00",332.611,"2,404.00","2,391.00",7.52K,0.17%,60.25,12.318,61.2,60.0,0.05K,-1.16%
2024-2-27,"2,394.00",332.727,"2,400.00","2,387.00",7.59K,-0.37%,60.96,12.505,61.7,60.66,0.05K,0.02%
2024-2-26,"2,403.00",332.889,"2,411.00","2,394.00",10.70K,0.33%,60.95,12.45,62.3,59.99,0.10K,-1.53%
2024-2-23,"2,395.00",331.601,"2,406.00","2,384.00",21.76K,0.76%,61.9,12.811,64.09,61.5,0.08K,-3.22%
2024-2-22,"2,377.00",328.728,"2,399.00","2,365.00",21.64K,0.64%,63.96,13.032,64.74,63.94,0.12K,-0.76%
2024-2-21,"2,362.00",326.875,"2,372.00","2,350.00",27.59K,0.68%,64.45,13.124,64.78,64.31,0.11K,-0.59%
2024-2-20,"2,346.00",324.958,"2,357.00","2,337.00",20.82K,0.34%,64.83,13.18,65.14,64.43,7.96K,-0.15%
2024-2-19,"2,338.00",325.771,"2,353.00","2,328.00",22.17K,-0.72%,64.93,13.041,65.11,64.48,0.26K,0.39%
2024-2-8,"2,355.00",328.273,"2,363.00","2,342.00",27.99K,-0.13%,65.07,12.998,65.43,64.1,0.49K,1.28%
2024-2-7,"2,358.00",329.387,"2,365.00","2,354.00",19.17K,0.04%,64.25,13.139,65.29,64.24,0.18K,-1.64%
2024-2-6,"2,357.00",328.412,"2,365.00","2,348.00",26.07K,0.38%,65.32,13.156,66.17,64.8,7.61K,-0.43%
2024-2-5,"2,348.00",328.691,"2,360.00","2,339.00",25.13K,-0.38%,65.6,12.953,65.6,64.17,0.40K,2.48%
2024-2-2,"2,357.00",327.725,"2,365.00","2,352.00",26.31K,0.38%,64.01,12.798,64.28,63.59,0.20K,0.22%
2024-2-1,"2,348.00",327.825,"2,359.00","2,338.00",25.67K,0.26%,63.87,13.072,64.56,63.8,0.43K,-1.51%
2024-1-31,"2,342.00",329.742,"2,351.00","2,327.00",44.73K,0.26%,64.85,13.197,65.37,64.6,0.16K,0.57%
2024-1-30,"2,336.00",326.843,"2,342.00","2,329.00",23.76K,0.09%,64.48,12.937,64.8,63.66,0.26K,1.13%
2024-1-29,"2,334.00",323.228,"2,350.00","2,317.00",54.05K,0.91%,63.76,13.086,64.8,63.75,0.85K,-2.13%
2024-1-26,"2,313.00",322.256,"2,326.00","2,303.00",43.04K,-0.04%,65.15,13.501,66.84,64.85,0.52K,-2.91%
2024-1-25,"2,314.00",324.135,"2,322.00","2,308.00",32.99K,0.22%,67.1,13.649,67.44,65.87,0.24K,1.07%
2024-1-24,"2,309.00",321.219,"2,317.00","2,298.00",44.50K,0.70%,66.39,13.316,66.91,65.0,0.37K,0.35%
2024-1-23,"2,293.00",320.166,"2,307.00","2,283.00",50.58K,-0.13%,66.16,12.958,67.1,63.95,0.12K,2.43%
2024-1-22,"2,296.00",320.54,"2,311.00","2,287.00",56.23K,-0.99%,64.59,12.965,65.31,64.2,0.43K,-1.03%
2024-1-19,"2,319.00",324.176,"2,335.00","2,306.00",58.50K,0.13%,65.26,13.542,66.87,64.78,0.09K,-2.19%
2024-1-18,"2,316.00",323.897,"2,333.00","2,304.00",78.07K,-0.98%,66.72,13.751,67.76,66.55,0.06K,-1.30%
2024-1-17,"2,339.00",327.659,"2,355.00","2,325.00",64.11K,-0.55%,67.6,13.522,68.77,66.51,0.11K,0.48%
2024-1-16,"2,352.00",328.127,"2,360.00","2,346.00",35.43K,-2.12%,67.28,13.377,67.64,65.39,0.14K,1.37%
2024-1-15,"2,403.00",335.1,"2,403.00","2,403.00",1.00K,2.91%,66.37,13.844,67.6,66.37,0.12K,-1.95%
2024-1-12,"2,335.00",326.022,"2,335.00","2,335.00",,0.00%,67.69,14.021,68.31,67.47,0.04K,-1.76%
2024-1-11,"2,335.00",314.852,"2,340.00","2,255.00",0.05K,-2.63%,68.9,14.228,69.52,68.8,0.05K,-1.15%
2024-1-10,"2,398.00",334.379,"2,398.00","2,398.00",,0.00%,69.7,14.464,70.87,69.5,0.06K,-1.64%
2024-1-9,"2,398.00",335.014,"2,398.00","2,398.00",,0.00%,70.86,14.479,71.2,70.63,0.10K,-0.48%
2024-1-8,"2,398.00",332.5,"2,432.00","2,367.00",2.66K,-0.21%,71.2,14.756,72.17,70.9,0.15K,-2.08%
2024-1-5,"2,403.00",338.714,"2,431.00","2,383.00",2.74K,-0.33%,72.71,14.972,73.09,72.51,0.05K,0.37%
2024-1-4,"2,411.00",337.299,"2,423.00","2,410.00",0.25K,-0.25%,72.44,14.712,72.67,71.87,0.04K,0.01%
2024-1-3,"2,417.00",335.78,"2,429.00","2,394.00",1.63K,0.71%,72.43,14.624,72.59,71.47,0.19K,0.74%
2024-1-2,"2,400.00",335.536,"2,410.00","2,386.00",2.64K,-0.21%,71.9,14.542,72.18,71.19,0.08K,1.10%
2023-12-28,"2,402.00",337.779,"2,422.00","2,390.00",14.63K,0.17%,71.12,14.337,71.3,69.56,0.28K,1.99%
2023-12-27,"2,398.00",336.064,"2,413.00","2,388.00",16.88K,-1.15%,69.73,14.575,70.67,69.25,0.05K,-0.67%
2023-12-26,"2,426.00",340.594,"2,441.00","2,403.00",31.92K,-0.45%,70.2,14.539,70.85,70.0,0.08K,-0.28%
2023-12-22,"2,405.00",336.324,"2,417.00","2,390.00",50.97K,0.63%,70.4,14.678,71.48,70.29,0.08K,-1.51%
2023-12-21,"2,390.00",338.544,"2,417.00","2,377.00",49.55K,0.72%,71.48,14.62,71.82,71.0,0.07K,-0.36%
2023-12-20,"2,373.00",332.861,"2,381.00","2,362.00",67.33K,-0.71%,71.74,14.334,71.84,70.25,0.50K,1.49%
2023-12-19,"2,390.00",339.575,"2,413.00","2,365.00",110.53K,-1.24%,70.69,14.79,72.25,70.28,0.53K,-2.47%
2023-12-18,"2,420.00",342.183,"2,450.00","2,400.00",193.30K,-1.22%,72.48,14.811,73.04,72.33,0.06K,-1.19%
2023-12-15,"2,450.00",344.227,"2,461.00","2,443.00",135.01K,-0.04%,73.35,14.543,73.42,71.81,0.11K,1.59%
2023-12-14,"2,451.00",344.774,"2,464.00","2,441.00",195.41K,-0.33%,72.2,14.943,73.65,72.15,0.21K,-1.50%
2023-12-13,"2,459.00",343.804,"2,470.00","2,452.00",233.68K,-0.28%,73.3,14.801,73.51,72.57,0.24K,0.26%
2023-12-12,"2,466.00",345.654,"2,488.00","2,447.00",375.16K,-0.88%,73.11,14.446,73.87,71.63,0.03K,2.51%
2023-12-11,"2,488.00",347.134,"2,498.00","2,480.00",223.92K,-0.08%,71.32,14.417,71.78,70.92,0.07K,0.17%
2023-12-8,"2,490.00",348.592,"2,500.00","2,480.00",265.32K,-0.12%,71.2,14.369,71.58,70.78,0.13K,0.21%
2023-12-7,"2,493.00",349.491,"2,503.00","2,483.00",218.86K,0.16%,71.05,14.303,71.5,69.73,0.41K,1.36%
2023-12-6,"2,489.00",347.766,"2,501.00","2,476.00",278.46K,0.08%,70.1,14.59,71.64,69.8,0.16K,-0.89%
2023-12-5,"2,487.00",348.138,"2,496.00","2,478.00",259.38K,-0.16%,70.73,14.197,71.39,69.93,0.12K,0.91%
2023-12-4,"2,491.00",348.505,"2,500.00","2,482.00",267.91K,-0.08%,70.09,14.08,70.11,68.72,0.19K,0.27%
2023-12-1,"2,493.00",351.067,"2,504.00","2,483.00",249.84K,-0.20%,69.9,14.304,70.24,69.12,0.05K,0.34%
2023-11-30,"2,498.00",349.844,"2,505.00","2,491.00",215.79K,0.20%,69.66,13.778,69.99,67.61,0.14K,2.29%
2023-11-29,"2,493.00",349.202,"2,500.00","2,487.00",223.46K,-0.28%,68.1,13.985,69.1,67.78,0.08K,-0.10%
2023-11-28,"2,500.00",351.866,"2,514.00","2,490.00",303.59K,-0.68%,68.17,13.581,68.41,65.81,0.39K,3.32%
2023-11-27,"2,517.00",354.764,"2,540.00","2,505.00",383.15K,-0.83%,65.98,13.555,66.67,65.53,0.29K,-1.05%
2023-11-24,"2,538.00",355.12,"2,547.00","2,529.00",216.68K,-0.04%,66.68,13.767,67.95,66.26,0.37K,-1.14%
2023-11-23,"2,539.00",356.628,"2,552.00","2,528.00",253.88K,-0.31%,67.45,13.972,68.79,67.36,0.21K,-1.76%
2023-11-22,"2,547.00",359.154,"2,570.00","2,535.00",406.87K,-0.97%,68.66,13.961,69.38,67.86,0.15K,-0.19%
2023-11-21,"2,572.00",361.273,"2,580.00","2,565.00",305.42K,0.27%,68.79,13.767,69.16,67.47,0.13K,1.52%
2023-11-20,"2,565.00",355.135,"2,578.00","2,543.00",473.23K,0.75%,67.76,13.799,67.89,66.42,5.21K,1.77%
2023-11-17,"2,546.00",354.033,"2,557.00","2,536.00",313.65K,-0.16%,66.58,13.636,67.69,66.5,0.49K,-0.55%
2023-11-16,"2,550.00",351.284,"2,558.00","2,540.00",298.02K,0.28%,66.95,13.944,68.1,66.25,0.14K,-1.60%
