Date,Open,Close,High,Low,Volume,Change
2024-3-20,"2,425.00","2,420.00","2,430.00","2,420.00",319.17K,0.08%
2024-3-19,"2,423.00","2,438.00","2,439.00","2,414.00",634.87K,-1.14%
2024-3-18,"2,451.00","2,455.00","2,462.00","2,437.00",569.57K,0.57%
2024-3-15,"2,437.00","2,426.00","2,457.00","2,422.00",576.27K,1.25%
2024-3-14,"2,407.00","2,387.00","2,430.00","2,337.00",0.58K,-0.12%
2024-3-13,"2,410.00","2,410.00","2,410.00","2,410.00",0.00K,0.04%
2024-3-12,"2,409.00","2,408.00","2,410.00","2,408.00",2.11K,0.17%
2024-3-11,"2,405.00","2,405.00","2,405.00","2,405.00",,0.00%
2024-3-8,"2,405.00","2,418.00","2,418.00","2,396.00",4.48K,-0.54%
2024-3-7,"2,418.00","2,418.00","2,418.00","2,418.00",1.56K,0.33%
2024-3-6,"2,410.00","2,410.00","2,410.00","2,410.00",0.20K,0.25%
2024-3-5,"2,404.00","2,405.00","2,405.00","2,388.00",0.03K,-0.17%
2024-3-4,"2,408.00","2,408.00","2,409.00","2,408.00",0.59K,-0.29%
2024-3-1,"2,415.00","2,425.00","2,425.00","2,405.00",0.20K,0.84%
2024-2-29,"2,395.00","2,392.00","2,442.00","2,385.00",6.82K,-0.13%
2024-2-28,"2,398.00","2,394.00","2,404.00","2,391.00",7.52K,0.17%
2024-2-27,"2,394.00","2,395.00","2,400.00","2,387.00",7.59K,-0.37%
2024-2-26,"2,403.00","2,396.00","2,411.00","2,394.00",10.70K,0.33%
2024-2-23,"2,395.00","2,386.00","2,406.00","2,384.00",21.76K,0.76%
2024-2-22,"2,377.00","2,365.00","2,399.00","2,365.00",21.64K,0.64%
2024-2-21,"2,362.00","2,350.00","2,372.00","2,350.00",27.59K,0.68%
2024-2-20,"2,346.00","2,337.00","2,357.00","2,337.00",20.82K,0.34%
2024-2-19,"2,338.00","2,345.00","2,353.00","2,328.00",22.17K,-0.72%
2024-2-8,"2,355.00","2,357.00","2,363.00","2,342.00",27.99K,-0.13%
2024-2-7,"2,358.00","2,365.00","2,365.00","2,354.00",19.17K,0.04%
2024-2-6,"2,357.00","2,358.00","2,365.00","2,348.00",26.07K,0.38%
2024-2-5,"2,348.00","2,360.00","2,360.00","2,339.00",25.13K,-0.38%
2024-2-2,"2,357.00","2,357.00","2,365.00","2,352.00",26.31K,0.38%
2024-2-1,"2,348.00","2,345.00","2,359.00","2,338.00",25.67K,0.26%
2024-1-31,"2,342.00","2,341.00","2,351.00","2,327.00",44.73K,0.26%
2024-1-30,"2,336.00","2,340.00","2,342.00","2,329.00",23.76K,0.09%
2024-1-29,"2,334.00","2,321.00","2,350.00","2,317.00",54.05K,0.91%
2024-1-26,"2,313.00","2,306.00","2,326.00","2,303.00",43.04K,-0.04%
2024-1-25,"2,314.00","2,314.00","2,322.00","2,308.00",32.99K,0.22%
2024-1-24,"2,309.00","2,305.00","2,317.00","2,298.00",44.50K,0.70%
2024-1-23,"2,293.00","2,288.00","2,307.00","2,283.00",50.58K,-0.13%
2024-1-22,"2,296.00","2,306.00","2,311.00","2,287.00",56.23K,-0.99%
2024-1-19,"2,319.00","2,327.00","2,335.00","2,306.00",58.50K,0.13%
2024-1-18,"2,316.00","2,325.00","2,333.00","2,304.00",78.07K,-0.98%
2024-1-17,"2,339.00","2,352.00","2,355.00","2,325.00",64.11K,-0.55%
2024-1-16,"2,352.00","2,353.00","2,360.00","2,346.00",35.43K,-2.12%
2024-1-15,"2,403.00","2,403.00","2,403.00","2,403.00",1.00K,2.91%
2024-1-12,"2,335.00","2,335.00","2,335.00","2,335.00",,0.00%
2024-1-11,"2,335.00","2,255.00","2,340.00","2,255.00",0.05K,-2.63%
2024-1-10,"2,398.00","2,398.00","2,398.00","2,398.00",,0.00%
2024-1-9,"2,398.00","2,398.00","2,398.00","2,398.00",,0.00%
2024-1-8,"2,398.00","2,380.00","2,432.00","2,367.00",2.66K,-0.21%
2024-1-5,"2,403.00","2,415.00","2,431.00","2,383.00",2.74K,-0.33%
2024-1-4,"2,411.00","2,413.00","2,423.00","2,410.00",0.25K,-0.25%
2024-1-3,"2,417.00","2,402.00","2,429.00","2,394.00",1.63K,0.71%
2024-1-2,"2,400.00","2,397.00","2,410.00","2,386.00",2.64K,-0.21%
2023-12-29,"2,405.00","2,426.00","2,426.00","2,389.00",19.39K,0.12%
2023-12-28,"2,402.00","2,401.00","2,422.00","2,390.00",14.63K,0.17%
2023-12-27,"2,398.00","2,400.00","2,413.00","2,388.00",16.88K,-1.15%
2023-12-26,"2,426.00","2,433.00","2,441.00","2,403.00",31.92K,-0.45%
2023-12-25,"2,437.00","2,415.00","2,458.00","2,415.00",47.66K,1.33%
2023-12-22,"2,405.00","2,399.00","2,417.00","2,390.00",50.97K,0.63%
2023-12-21,"2,390.00","2,417.00","2,417.00","2,377.00",49.55K,0.72%
2023-12-20,"2,373.00","2,375.00","2,381.00","2,362.00",67.33K,-0.71%
2023-12-19,"2,390.00","2,412.00","2,413.00","2,365.00",110.53K,-1.24%
2023-12-18,"2,420.00","2,441.00","2,450.00","2,400.00",193.30K,-1.22%
2023-12-15,"2,450.00","2,450.00","2,461.00","2,443.00",135.01K,-0.04%
2023-12-14,"2,451.00","2,451.00","2,464.00","2,441.00",195.41K,-0.33%
2023-12-13,"2,459.00","2,466.00","2,470.00","2,452.00",233.68K,-0.28%
2023-12-12,"2,466.00","2,481.00","2,488.00","2,447.00",375.16K,-0.88%
2023-12-11,"2,488.00","2,491.00","2,498.00","2,480.00",223.92K,-0.08%
2023-12-8,"2,490.00","2,497.00","2,500.00","2,480.00",265.32K,-0.12%
2023-12-7,"2,493.00","2,499.00","2,503.00","2,483.00",218.86K,0.16%
2023-12-6,"2,489.00","2,485.00","2,501.00","2,476.00",278.46K,0.08%
2023-12-5,"2,487.00","2,488.00","2,496.00","2,478.00",259.38K,-0.16%
2023-12-4,"2,491.00","2,487.00","2,500.00","2,482.00",267.91K,-0.08%
2023-12-1,"2,493.00","2,501.00","2,504.00","2,483.00",249.84K,-0.20%
2023-11-30,"2,498.00","2,494.00","2,505.00","2,491.00",215.79K,0.20%
2023-11-29,"2,493.00","2,491.00","2,500.00","2,487.00",223.46K,-0.28%
2023-11-28,"2,500.00","2,510.00","2,514.00","2,490.00",303.59K,-0.68%
2023-11-27,"2,517.00","2,530.00","2,540.00","2,505.00",383.15K,-0.83%
2023-11-24,"2,538.00","2,539.00","2,547.00","2,529.00",216.68K,-0.04%
2023-11-23,"2,539.00","2,546.00","2,552.00","2,528.00",253.88K,-0.31%
2023-11-22,"2,547.00","2,570.00","2,570.00","2,535.00",406.87K,-0.97%
